"","POC_R0_C1","POC_R0_C2","POC_R0_C3","POC_R0_H1","POC_R0_H2","POC_R0_H3","POC_R1_C1","POC_R1_C2","POC_R1_C3","POC_R1_H1","POC_R1_H2","POC_R1_H3","POC_R3_C1","POC_R3_C2","POC_R3_C3","POC_R3_H1","POC_R3_H2","POC_R3_H3","POC_R12_C1","POC_R12_C2","POC_R12_C3","POC_R12_H1","POC_R12_H2","POC_R12_H3","POC_R24_C1","POC_R24_C2","POC_R24_C3","POC_R24_H1","POC_R24_H2","POC_R24_H3","POC_R72_C1","POC_R72_C2","POC_R72_C3","POC_R72_H1","POC_R72_H2","POC_R72_H3","POC_R120_C1","POC_R120_C2","POC_R120_C3","POC_R120_H1","POC_R120_H2","POC_R120_H3"
"Pocillopora_acuta_HIv2___RNAseq.g10501.t2",8.92797533951561,9.10680756050934,8.65239299739593,8.78902255176748,8.36995442750523,8.8482259878054,9.09548030863063,9.10552499352393,8.65318136266415,8.60950592786882,8.85215885382532,8.41523877078945,8.9866505378707,8.59371024256248,8.47311488350026,8.7335470247206,9.12457940220348,8.6845722432833,8.7894684893281,8.62262377318216,8.56014075013165,8.80645293387851,9.02111856145171,8.68022247317575,8.77366856769976,8.88888056627004,8.85946539950719,8.97238218946577,8.81549744321504,8.83627808622116,8.58577077266467,8.97179481444326,8.78523830877885,8.43288878539724,8.03906021759611,8.2905195533295,8.87248623130014,8.8892610258294,9.12459759315034,9.71532315421033,9.59745395819263,8.42309301751177
"Pocillopora_acuta_HIv2___TS.g28664.t2",9.61001642640136,9.9503127257806,9.73501775994754,9.71302742829588,9.85865801314647,9.9974646025397,9.74117516181954,9.52043131983428,9.82674749776278,9.35627282338718,9.71624244704087,9.48415019788649,9.921875940404,9.76358642410176,9.92022481146861,9.78905856795012,9.50795148520225,9.91186368414727,9.59061154626812,9.72410091844755,9.83670942980643,9.80280378288534,9.59207118334937,9.68381585197659,9.7671702747676,10.0093786718549,9.93774328925668,9.72971304577146,9.67276995508583,9.86245501254123,9.6871528526699,9.56286075761033,9.70122426248702,9.51552925565645,9.74585635284595,9.44326860276361,9.59156143269547,9.70151969188064,9.54489374191004,9.48382681321903,9.68616094986034,9.567726494697
"Pocillopora_acuta_HIv2___RNAseq.g10504.t1",8.9805433857412,9.33994817393047,9.28207350237958,9.65104626706053,9.02971821666321,9.3710108424254,9.78971050340884,9.3988918472518,9.38217396124902,8.98163902241419,9.15347475810064,9.85498503566219,9.65110320065172,8.95733618278625,9.48249535946572,9.5517130314387,9.59047930858094,9.92754935172825,8.70355566911921,8.67978009921596,9.24622822948907,8.90045898583589,9.14493433588366,9.70848808143314,9.91868468262962,9.81987143106001,9.66132600195562,10.3135621005542,9.84024922513037,10.4491077631491,9.76158150083503,9.31444436876163,9.22866304729981,9.62351864441232,9.53488048587611,10.0734561749159,9.84647294575211,9.47104549050731,9.5350258779287,9.15920425580356,9.68329116093162,9.63000530464754
"Pocillopora_acuta_HIv2___RNAseq.g10505.t1",6.89786248453268,6.74830839418409,6.9581110728083,7.01951799999817,6.88185372830233,6.78337501716831,7.20325856355326,6.86761269286949,6.91228466625778,6.2157282457997,6.30452180332013,6.46940512666386,6.19747270746437,6.58468581300214,6.62585348974933,6.60546164715389,6.60468895655709,6.51794891194059,6.40035277065777,6.90147632412848,7.32492955367171,6.14937019174248,6.66072054667016,7.39702476794977,7.70040645538124,7.12505156063149,7.55373122227091,7.17437569208527,6.72441756288948,6.7172561684638,7.26370399543986,6.86199767811555,7.20337717517513,6.74412722540249,7.29710700432978,6.87264530159348,7.29058752464666,6.58634299972085,7.02427657330291,6.15287744705118,6.83028600807277,6.66599779082487
"Pocillopora_acuta_HIv2___TS.g28667.t1a",7.40061121336376,7.66808642199488,7.6477867288556,7.58886451935447,8.42017085804468,7.75030427511381,7.99409755215119,8.2704799826264,8.41742933838511,7.39489831737241,7.14798906760155,8.55492070937994,7.94984128900564,7.93172957202501,7.97748572865544,6.64053822728401,6.97224691149022,7.13565679210734,7.59110285022341,6.82989589089743,7.00940925501153,6.54883258342366,5.87018976274025,7.31947832286771,7.77695295740551,8.07563650760936,8.47413550074615,6.68282075655926,6.63146428588142,6.84966977222773,9.39772652532179,8.78587481761099,8.855498580301,6.6065517268122,6.49875126268892,6.65828851809961,9.75979722500278,8.82119908671798,9.33094758052034,5.87018976274025,5.87018976274025,6.61880750964694
"Pocillopora_acuta_HIv2___RNAseq.g10508.t1",9.57117722500288,9.4346494761036,9.3766742514183,9.31592257467941,9.67488196642839,9.61007131948432,9.70570270940435,9.67008004377543,9.2814765471599,9.21891693285739,9.35892291773023,9.52305729463735,9.58981810929442,9.3865769774238,9.59868155638993,9.01874499008655,9.33354893743797,8.87945403791758,9.40507323225358,9.47491898328428,9.40936021689999,8.79560608890708,8.82517561371554,9.09892029657982,9.45677337844707,9.57974052292183,9.58071625050984,8.82470581832753,9.34329227533254,9.06605923649967,9.78894609065904,9.21229829016166,9.49072552054707,9.08814445442842,8.82489740043879,9.08050136441395,9.59156143269547,9.57594965026714,9.47433853846997,8.78268636586682,9.43611957517269,9.01493042548198
"Pocillopora_acuta_HIv2___RNAseq.g10509.t1",11.7052782123501,11.878060817096,11.737896036559,11.6954234737647,11.6372241457103,11.5540178933443,11.8242391726353,11.6273683102998,11.7174755235207,12.0839843304548,12.0067717109718,11.7155365948312,11.7441571544992,11.9043232739676,11.7446412702403,11.9991694391402,11.9854473476032,12.0644568663832,11.8270179757603,11.7382027139655,11.6025473449397,11.7861216174972,11.9525694631401,12.0596183232154,11.7376212628605,11.7157188397871,11.671505819321,11.8233835633274,11.8401462650698,11.6468801825567,11.7892310476842,11.85686560297,11.7371933090634,11.6360708770471,11.648874192229,11.7380943453819,11.7606719158328,11.9315115093647,11.796038030032,11.5570712613318,11.7771017757033,11.7777616790856
"Pocillopora_acuta_HIv2___TS.g28669.t2",8.48725769841408,8.64390330358571,8.63771901790324,8.50545409550116,8.35593017031807,9.07168945895707,8.61557159366708,8.78513883228693,8.71191726500998,8.64410042966955,8.73126067743501,8.53056101741976,8.85584029995131,8.5113471441168,8.67090356222854,8.81681588557653,8.62901906567381,8.75770817285431,8.72355295783512,8.83278867545838,8.73814993381104,8.76254940934282,8.74869294823081,8.48773330201979,8.51312601086204,8.7390711729441,8.71958896794933,8.93089445943108,8.92341888571542,9.01424351959663,8.8092208439457,9.03007471766143,8.69669222081574,8.86211270532653,8.82124330975359,9.04913975658996,8.83711875740223,9.04152227110734,8.71263405314326,8.91859440700124,8.97834766063043,8.79538177789388
"Pocillopora_acuta_HIv2___RNAseq.g10511.t2",9.06996777302703,8.81002749104926,8.84937742276384,8.88862526212443,8.91545470422331,9.09728098393296,8.97508363009721,9.0115749598663,8.9891437079345,8.51390574584608,8.48950393280962,9.03060468363278,8.95433152605329,8.6096073877502,8.90595309442892,8.8368782486647,9.22469016526622,9.18428469612459,8.97700936072687,8.82720435266609,8.99779131973773,9.11546311150648,9.35748333909994,9.1753610247068,8.82264584476444,8.87460266758751,8.93997220510904,9.10599126405202,8.89635534346138,9.3094936992031,8.94148968452041,8.66497428672782,8.95923364054211,9.01136068788142,9.10808880047385,9.14120621450951,8.97584256578242,8.81014261003865,8.8283573712814,9.04247522261112,9.23455599596132,8.92732444776431
"Pocillopora_acuta_HIv2___TS.g28671.t1",10.2315869930783,10.2283128967536,10.2503128689495,10.1704532283461,10.5428837092147,10.1540097958872,10.1969607060878,10.0533095497357,10.4986002332095,10.3797781820942,10.2451446536103,10.1852709962588,10.9465364477775,10.9740391582872,10.7694934008164,11.2914374006263,11.1757883430261,11.3238247640305,10.7677682774834,10.4422456903982,10.5501759779649,10.4991005416796,10.4061180497395,10.2712126454569,10.1741953956868,10.4216952135408,10.4047897188686,10.4882131375886,10.3406103921351,10.593879428832,10.1807291289226,10.8935015435284,10.2640326258499,10.3868136180933,10.3874125056423,10.5933450087525,10.1986012627621,10.3856153347745,10.3448313007132,10.5247466148295,9.73131040296304,10.5391803081595
"Pocillopora_acuta_HIv2___RNAseq.g10514.t1",9.08769404911257,8.98326102210823,9.20550648848059,9.27408511196774,9.25109568450653,8.94398184096232,9.15924024478096,8.79995736408935,9.20714882749956,8.92694957362626,9.13512021155477,9.26458874276432,8.85584029995131,8.98174776540804,8.73199757664422,8.90015999633162,8.79536313355374,8.53755233616379,9.13356108759088,8.94261057450076,9.21022778330419,8.83143889474011,9.2963036068401,9.12932667934516,9.3023841018817,9.09033256335351,9.18120975117789,9.49985355342232,9.27707559298587,9.46484698883321,8.76452348419788,9.1803499925698,9.14355828128488,9.62351864441232,9.37624894805215,9.76220812930312,8.90210512976455,8.87873228288534,9.02885018925764,9.42314000818683,9.25411052410637,9.62803817609217
"Pocillopora_acuta_HIv2___RNAseq.g10516.t1",8.71522537191364,8.75320964697707,8.61915463471398,8.60023839972933,8.55248526975776,8.44538325336119,8.66763649259563,8.52358732730771,8.72146912891148,8.65338687299616,8.74352870361815,8.3606748840039,8.19861224636615,8.53657864724839,8.71091939713614,8.57459640552023,8.15519386234645,8.65748842843615,8.60333172997696,8.62262377318216,8.57848987534014,8.41344980704131,8.87912762991842,8.73443093281452,8.50958078053848,8.75088293136628,8.48075485521072,9.06284860666411,8.78992917243278,8.80938575786572,8.16535593771017,8.72147683058544,8.52560879792611,8.81484982726485,9.09007922054767,9.00256935995492,8.4999585371063,8.5770227004802,8.62472019931828,8.5765238073301,9.31864705089746,9.1059531485338
"Pocillopora_acuta_HIv2___RNAseq.g10517.t1",7.75869375322775,8.12544742736036,7.95813883767017,8.27911344363495,8.3129631152455,7.81138491785487,8.03827078235418,7.93967566053142,7.92563178307762,7.32715239053386,6.94251222370112,7.30139026120886,8.01067403385168,7.78604302102384,8.05855088267782,7.11826145448085,7.64074525934076,7.73720445951624,8.07561519721026,7.86484677089336,7.7672019725607,7.79736361252343,7.93083221210742,7.91531067982594,8.07363665032606,7.8737486490049,7.86803400217056,7.73648824111215,7.87429986372565,7.78663823259398,7.49824115512487,7.8092883885994,7.98266038538728,7.54863820711253,7.80414030738114,7.9518138779842,7.98567669248143,8.29613397920869,7.9844773952802,7.9363784960987,8.0793473286703,7.96825377591287
"Pocillopora_acuta_HIv2___RNAseq.g10518.t1",8.3006987965822,8.08457102041342,8.3241919235677,7.70713952593234,8.28353866950474,8.27689334704006,8.19182424988824,8.31317029223896,8.26687695921703,7.68448850156963,7.52231895323729,8.37910770266953,8.17259503665717,8.020399860533,8.22451041774204,7.62546348764191,7.66350253484273,7.24161376549957,8.24939363677437,8.36286488769158,8.5654083776291,8.29855627301668,8.25678965929028,8.5191579893485,8.01848201057871,7.73022709119325,8.39561065189867,7.83518928358477,7.82981946577394,8.16297480369767,8.44347800171504,8.05116101191706,8.37705661521675,8.20726783736633,8.22114274737306,7.9596774329458,8.17303665436859,8.00905932934885,8.38121637033891,8.20845692478656,7.90400845594557,7.88724570945077
"Pocillopora_acuta_HIv2___RNAseq.g10519.t1",7.83707882197038,8.29778424277569,7.99433649277069,8.02435181173707,7.87433221491609,8.25161739926181,8.18212351108539,8.44327908902285,8.31894776202702,7.9447875043353,7.82349515336577,7.59602967456394,8.43863769277051,8.50709637901614,7.96170642663952,7.86227622768754,8.32319670894415,7.50890482799591,8.04319853511904,8.03097505595,7.86433765664147,8.22350329468088,8.24201612684357,8.03207667314498,7.92285631574099,8.26739686077645,8.19517224627185,7.54638982589,7.57995767407342,7.27708723783461,8.23404226166636,8.25516279153964,8.22577880980234,8.32288011142689,7.72342605248907,8.07225026509322,8.18132789885279,8.0420491154987,8.36302240977474,8.78268636586682,8.51819617886357,7.68348941909926
