fragment_name,species,t_hours,t_hours,day,time,type,Tank,preservative,Plug #,Genotype,Color_Score_Image,Status,Notes
POR_P24_C3,POR,24,control,"Thu, Jun 26",9:00 AM, phys,Tank_6,LN2,1118,Unknown,IMG_4305,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R24_C3,POR,24,control,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_6,DNA/RNA shield,1140,Genotype E11,IMG_4306,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R24_C3,POR,24,control,"Thu, Jun 26",9:00 AM,LCM,Tank_6,PAXgene,1140,Genotype E11,IMG_4306,In flammable fridge in Paxgene Stabilizer,
POR_S24_C3,POR,24,control,"Thu, Jun 26",9:00 AM,spatial,Tank_6,Formalin,1727,Sep2024,IMG_4307,In flammable fridge in 70% ethanol,
POR_P24_H1,POR,24,heat,"Thu, Jun 26",9:00 AM, phys,Tank_2,LN2,1691,Unknown,IMG_4308,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R24_H1,POR,24,heat,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_2,DNA/RNA shield,1186,Unknown,IMG_4309,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R24_H1,POR,24,heat,"Thu, Jun 26",9:00 AM,LCM,Tank_2,PAXgene,1186,Unknown,IMG_4309,In flammable fridge in Paxgene Stabilizer,
POR_S24_H1,POR,24,heat,"Thu, Jun 26",9:00 AM,spatial,Tank_2,Formalin,1621,Sep2024,IMG_4310,In flammable fridge in 70% ethanol,
POR_P24_H2,POR,24,heat,"Thu, Jun 26",9:00 AM, phys,Tank_3,LN2,2982,Genotype A13,IMG_4311,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R24_H2,POR,24,heat,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_3,DNA/RNA shield,2201,Unknown,IMG_4312,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R24_H2,POR,24,heat,"Thu, Jun 26",9:00 AM,LCM,Tank_3,PAXgene,2201,Unknown,IMG_4312,In flammable fridge in Paxgene Stabilizer,
POR_S24_H2,POR,24,heat,"Thu, Jun 26",9:00 AM,spatial,Tank_3,Formalin,1110,Genotype E14,IMG_4313,In flammable fridge in 70% ethanol,
POR_P24_H3,POR,24,heat,"Thu, Jun 26",9:00 AM, phys,Tank_5,LN2,1486,Genotype E11,IMG_4314,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R24_H3,POR,24,heat,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_5,DNA/RNA shield,2079,Sep2024,IMG_4315,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R24_H3,POR,24,heat,"Thu, Jun 26",9:00 AM,LCM,Tank_5,PAXgene,2079,Sep2024,IMG_4315,In flammable fridge in Paxgene Stabilizer,
