"","DateTimeEST","TempC","IntensityLux","Tank","Treatment"
"232",2025-07-03 03:15:24,25.319,0,"Tank1","Control"
"233",2025-07-03 03:20:24,25.222,0,"Tank1","Control"
"234",2025-07-03 03:25:24,25.222,0,"Tank1","Control"
"235",2025-07-03 03:30:24,25.222,0,"Tank1","Control"
"236",2025-07-03 03:35:24,25.222,0,"Tank1","Control"
"237",2025-07-03 03:40:24,25.125,0,"Tank1","Control"
"238",2025-07-03 03:45:24,25.125,0,"Tank1","Control"
"239",2025-07-03 03:50:24,25.125,0,"Tank1","Control"
"240",2025-07-03 03:55:24,25.222,0,"Tank1","Control"
"241",2025-07-03 04:00:24,25.222,0,"Tank1","Control"
"242",2025-07-03 04:05:24,25.125,0,"Tank1","Control"
"243",2025-07-03 04:10:24,25.125,0,"Tank1","Control"
"244",2025-07-03 04:15:24,25.125,0,"Tank1","Control"
"245",2025-07-03 04:20:24,25.222,0,"Tank1","Control"
"246",2025-07-03 04:25:24,25.222,0,"Tank1","Control"
"247",2025-07-03 04:30:24,25.222,0,"Tank1","Control"
"248",2025-07-03 04:35:24,25.222,0,"Tank1","Control"
"249",2025-07-03 04:40:24,25.125,0,"Tank1","Control"
"250",2025-07-03 04:45:24,25.125,0,"Tank1","Control"
"251",2025-07-03 04:50:24,25.125,0,"Tank1","Control"
"252",2025-07-03 04:55:24,25.319,0,"Tank1","Control"
"253",2025-07-03 05:00:24,25.319,0,"Tank1","Control"
"254",2025-07-03 05:05:24,25.319,0,"Tank1","Control"
"255",2025-07-03 05:10:24,25.222,0,"Tank1","Control"
"256",2025-07-03 05:15:24,25.222,0,"Tank1","Control"
"257",2025-07-03 05:20:24,25.222,0,"Tank1","Control"
"258",2025-07-03 05:25:24,25.222,0,"Tank1","Control"
"259",2025-07-03 05:30:24,25.125,0,"Tank1","Control"
"260",2025-07-03 05:35:24,25.125,0,"Tank1","Control"
"261",2025-07-03 05:40:24,25.125,0,"Tank1","Control"
"262",2025-07-03 05:45:24,25.222,0,"Tank1","Control"
"263",2025-07-03 05:50:24,25.319,0,"Tank1","Control"
"264",2025-07-03 05:55:24,25.319,0,"Tank1","Control"
"265",2025-07-03 06:00:24,25.222,0,"Tank1","Control"
"266",2025-07-03 06:05:24,25.222,0,"Tank1","Control"
"267",2025-07-03 06:10:24,25.222,0,"Tank1","Control"
"268",2025-07-03 06:15:24,25.125,0,"Tank1","Control"
"269",2025-07-03 06:20:24,25.125,0,"Tank1","Control"
"270",2025-07-03 06:25:24,25.125,0,"Tank1","Control"
"271",2025-07-03 06:30:24,25.222,0,"Tank1","Control"
"272",2025-07-03 06:35:24,25.222,0,"Tank1","Control"
"273",2025-07-03 06:40:24,25.222,0,"Tank1","Control"
