Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
run-2-MON_R0_H2_S43_R2_001	run-2-MON_R0_H2_S43_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3292779.0	497.2 Mbp	0.0	151.0	43.0	75.51632683242305	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	fail
run-2-MON_R120_C3_S61_R1_001	run-2-MON_R120_C3_S61_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8700521.0	1.3 Gbp	0.0	151.0	42.0	52.25865645051386	151.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail
run-2-MON_R120_C3_S61_R2_001	run-2-MON_R120_C3_S61_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8700521.0	1.3 Gbp	0.0	151.0	43.0	65.53841504815797	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	fail
run-2-MON_R120_H3_S46_R1_001	run-2-MON_R120_H3_S46_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4633310.0	699.6 Mbp	0.0	151.0	43.0	67.20422891493631	151.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
run-2-MON_R120_H3_S46_R2_001	run-2-MON_R120_H3_S46_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4633310.0	699.6 Mbp	0.0	151.0	43.0	71.43955289451524	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
run-2-MON_R12_H1_S26_R1_001	run-2-MON_R12_H1_S26_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4716027.0	712.1 Mbp	0.0	151.0	43.0	68.00177408361081	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	fail
run-2-MON_R12_H1_S26_R2_001	run-2-MON_R12_H1_S26_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4716027.0	712.1 Mbp	0.0	151.0	43.0	71.63900329859884	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
run-2-MON_R1_H3_S35_R1_001	run-2-MON_R1_H3_S35_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3974482.0	600.1 Mbp	0.0	151.0	43.0	70.83834225949983	151.0	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	fail
run-2-MON_R1_H3_S35_R2_001	run-2-MON_R1_H3_S35_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3974482.0	600.1 Mbp	0.0	151.0	43.0	74.0965733851365	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
run-2-MON_R24_C3_S25_R1_001	run-2-MON_R24_C3_S25_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5203449.0	785.7 Mbp	0.0	151.0	43.0	71.40488112302839	151.0	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	fail
run-2-MON_R24_C3_S25_R2_001	run-2-MON_R24_C3_S25_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5203449.0	785.7 Mbp	0.0	151.0	43.0	75.20406473382036	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
run-2-MON_R3_C3_S23_R1_001	run-2-MON_R3_C3_S23_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4559576.0	688.4 Mbp	0.0	151.0	43.0	72.16151772259374	151.0	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	fail
run-2-MON_R3_C3_S23_R2_001	run-2-MON_R3_C3_S23_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4559576.0	688.4 Mbp	0.0	151.0	44.0	75.19510872955942	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
run-2-MON_R3_H1_S19_R1_001	run-2-MON_R3_H1_S19_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5204910.0	785.9 Mbp	0.0	151.0	43.0	64.97260500163317	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	fail
run-2-MON_R3_H1_S19_R2_001	run-2-MON_R3_H1_S19_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5204910.0	785.9 Mbp	0.0	151.0	44.0	68.19136771048098	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	fail
run-2-MON_R3_H2_S62_R1_001	run-2-MON_R3_H2_S62_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11263517.0	1.7 Gbp	0.0	151.0	42.0	51.77862272656915	151.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	warn
run-2-MON_R3_H2_S62_R2_001	run-2-MON_R3_H2_S62_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11263517.0	1.7 Gbp	0.0	151.0	42.0	61.647061376481375	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	warn
run-2-MON_R72_C1_S20_R1_001	run-2-MON_R72_C1_S20_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5302350.0	800.6 Mbp	0.0	151.0	43.0	67.6664371669835	151.0	pass	pass	warn	pass	warn	pass	pass	pass	warn	pass	fail
run-2-MON_R72_C1_S20_R2_001	run-2-MON_R72_C1_S20_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5302350.0	800.6 Mbp	0.0	151.0	43.0	70.71823673614853	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
run-2-MON_R72_C2_S33_R1_001	run-2-MON_R72_C2_S33_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3945080.0	595.7 Mbp	0.0	151.0	43.0	74.61324567027303	151.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail
run-2-MON_R72_C2_S33_R2_001	run-2-MON_R72_C2_S33_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3945080.0	595.7 Mbp	0.0	151.0	43.0	78.15275259579983	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	fail
run-2-MON_R72_C3_S56_R1_001	run-2-MON_R72_C3_S56_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13144024.0	1.9 Gbp	0.0	151.0	43.0	51.81539066352789	151.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail
run-2-MON_R72_C3_S56_R2_001	run-2-MON_R72_C3_S56_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13144024.0	1.9 Gbp	0.0	151.0	43.0	62.89258914204085	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	fail
