"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Pocillopora_acuta_HIv2___TS.g21189.t1a",2344.86186934278,3.00033237754982,0.258160302156374,2.38530614389558e-32,4.68019254326675e-30
"Pocillopora_acuta_HIv2___RNAseq.g24799.t2",401.582487182328,1.11098242919749,0.221196823697022,1.17150527052435e-07,1.67809676866112e-06
"Pocillopora_acuta_HIv2___RNAseq.g24824.t1",527.122290772912,3.61664937166747,0.267892074244304,1.11584648726173e-42,4.55535329662607e-40
"Pocillopora_acuta_HIv2___TS.g21233.t1",26.0828022511996,1.40958392567802,0.675979436070047,0.00385348328133755,0.0175961600818933
"Pocillopora_acuta_HIv2___RNAseq.g24853.t1",1543.18865413469,1.00677980592788,0.230659735982325,3.371310932426e-06,3.57034523057048e-05
"Pocillopora_acuta_HIv2___RNAseq.g24874.t1",186.941308632174,5.64590233907301,0.548287771770961,5.01928063468661e-26,6.10783712233427e-24
"Pocillopora_acuta_HIv2___RNAseq.g24879.t1",14.3035386419164,1.81656263764206,0.901522545087235,0.00287427956648155,0.0136852690194158
"Pocillopora_acuta_HIv2___RNAseq.g24900.t1",1584.84164885035,1.45576391853261,0.786610775677422,0.0055280701384632,0.0237257278550201
"Pocillopora_acuta_HIv2___RNAseq.g24902.t1",43.9666591784846,1.25671549918363,0.60385532437302,0.0048087812297398,0.0211420986114198
"Pocillopora_acuta_HIv2___RNAseq.g24939.t1",3324.83062961209,1.26763434869627,0.165776510900079,4.0145337901116e-15,1.70776243296663e-13
"Pocillopora_acuta_HIv2___RNAseq.g24942.t1b",10989.0593464843,1.65012885609998,0.225632462118342,2.93300746516146e-14,1.11467495421474e-12
"Pocillopora_acuta_HIv2___TS.g21372.t1",5.6568813020126,5.74499026520072,2.95369735413775,0.00040227250755459,0.0025315563000284
"Pocillopora_acuta_HIv2___RNAseq.g24976.t1",114.382940585944,1.5073412420886,0.522064718228526,0.000430075656647569,0.0026825147721554
"Pocillopora_acuta_HIv2___RNAseq.g25016.t1",2929.7772145793,1.44112231550976,0.182294093322125,4.30542010704859e-16,2.04839263777268e-14
"Pocillopora_acuta_HIv2___RNAseq.g25034.t1",340.530012673928,2.435340764787,0.341020336663484,7.34009704118819e-14,2.66549779353679e-12
"Pocillopora_acuta_HIv2___RNAseq.g25047.t1",93.6799436102467,1.14184924808165,0.397100680926484,0.000761456885770965,0.00443062878982733
"Pocillopora_acuta_HIv2___RNAseq.g25071.t1",26.8094432655294,2.48985358292897,1.33593201939193,0.00220902540152047,0.0109012754801881
"Pocillopora_acuta_HIv2___RNAseq.g25079.t1",1427.91341601284,1.03809114756105,0.299989024066831,0.000128540418169834,0.000933836545435322
"Pocillopora_acuta_HIv2___RNAseq.g25097.t1",38.3767308207224,1.1015935733937,0.544783682175066,0.00714700405923158,0.0291911924710683
"Pocillopora_acuta_HIv2___TS.g21497.t1",1602.59352449877,1.17871477854857,0.296518447548064,1.37927729207564e-05,0.000128774944816402
"Pocillopora_acuta_HIv2___RNAseq.g25115.t1",26.498432086629,1.48458596164173,1.14240201477737,0.0105295842521247,0.0402893888141387
"Pocillopora_acuta_HIv2___TS.g21530.t1",9148.18353707992,2.92656900233736,0.35839552630197,2.47159173148648e-17,1.33958154851508e-15
"Pocillopora_acuta_HIv2___TS.g21545.t1",21.2324582488961,1.38229068237373,0.745889259240364,0.00622143615613964,0.0260540652792936
