"","MEdarkmagenta","MEgrey60","MEivory","MEorangered4","MEsienna3","MEdarkturquoise","MEfloralwhite","MEyellow","MEpurple","MEturquoise","MEroyalblue","MElightsteelblue1","MEdarkorange","MEsteelblue","MEdarkgreen","MEtan","MEorange","MEsalmon","MEdarkolivegreen","MElightcyan","MEmagenta","MEbrown","MEred","MEblack","MEdarkgrey","MEplum1","MEviolet","MEgreenyellow","MEpaleturquoise","MEsaddlebrown","MEskyblue","MEwhite","MEyellowgreen","MElightyellow","MEpink","MEdarkred","MElightcyan1","MEcyan","MElightgreen"
"POR_R12_C3",0.136327668944591,0.0303942931587824,0.138682573050841,0.166603111780975,0.0601515022937975,0.235393215979914,0.157777621310509,0.186561052144828,0.130193469562121,0.167559235707393,-0.078740073162164,-0.0619734421848776,-0.136650105747952,-0.0937857051191194,-0.104223301274838,-0.153034595935631,-0.0444337981708676,-0.00663699590985205,-0.11687511300302,0.0269661999239215,-0.0844665577222659,-0.0535884300262966,-0.138592837602938,0.059529017414527,0.101157390024067,-0.049575985681456,-0.170358812337084,-0.111589040519461,-0.0954934706504126,0.139892509385222,0.0151372127757151,-0.196868087062311,-0.220952976717759,-0.149245579073014,-0.124955723273217,-0.146144171351841,-0.124378673871615,-0.133739194238539,-0.131366472005829
"POR_R12_H1",-0.245395163468606,-0.222252942417258,-0.258785185973367,-0.229986387201873,-0.198789765064189,-0.107806243288359,-0.136006013568618,-0.274441999238681,-0.133994974792078,-0.170798785985001,-0.0525975164931644,-0.118003763678345,0.154994429750772,0.0548374285084217,0.179034397741761,0.241609810632637,0.0626761687197808,0.00105935479349709,0.201378351142152,-0.00495037358713418,0.16245558871588,0.10263155368064,0.237955095842306,-0.0612668852654693,-0.138744981050396,0.0469237042949248,-0.0242941082563183,-0.0635433960749979,0.0357447207095233,0.0441334794949044,0.212993629481354,0.156000736358847,0.258510217588913,0.200482862125823,0.271479088952394,0.250312255177218,0.114368452547515,0.27945621748619,0.306607076313904
"POR_R12_H2",-0.187489730365499,-0.174611399373536,-0.199090337647648,-0.239212623497132,-0.202409664596767,-0.123871620938447,-0.158955128843226,-0.263054777696587,-0.145521472360914,-0.206208547727108,-0.0734327120184771,-0.106842002432845,0.198742948077663,0.0751257128166712,0.127109056019031,0.220417876892051,0.0152910756876843,-0.042033434589803,0.162523908855348,-0.0255255236135499,0.123048323488316,0.0469846079038105,0.153589622536238,-0.0572438890926011,-0.138080467790724,0.017262132814324,-0.0730089742284547,-0.0898918557597884,-0.0471757605591527,0.026058865376476,0.146004202349506,0.0793956837865039,0.183095315868003,0.136102154520941,0.196406474977802,0.283677000074819,0.173360091043522,0.182788860538215,0.193623188048244
"POR_R12_H3",-0.272202964926713,-0.139676076913474,-0.257527360702253,0.0499907695777588,-0.0570956470115825,0.133860519635245,0.166640103349229,-0.249770431512308,-0.141702225963956,-0.122916650351276,-0.0459724092489952,0.0636552233367536,0.17876355509135,0.158482098601521,0.254114175672316,0.262637857392323,0.119652941297031,0.0431590283035442,0.124780569961284,-0.0701410678989505,0.116746280727903,0.0242215181092066,0.146728664516264,-0.0816645805816969,-0.152219328419805,-0.094038470259428,-0.145494759641366,-0.102382069505222,-0.0870961333961236,0.0959904326776401,0.138031658331622,-0.160555995181198,-0.026521313711978,-0.0833405238730928,-0.0787158660667441,0.210846038567071,0.0780996307607212,0.228679174422052,0.285935420269415
"POR_R24_C1",0.0293889257836892,-0.147155944738147,-0.039160563425553,-0.187323652854559,-0.116194181282515,-0.0662598892729538,-0.123525837378333,0.0786414708136495,0.126526668928062,0.099180485014859,-0.0179066920657763,-0.09942096396322,-0.110952775436682,-0.0772584286203331,-0.0329138211136029,-0.0794493288370612,0.0124379206636634,0.0718958322546798,0.0246441157163036,0.102461476043233,0.0193685852459691,0.11306865328035,0.0506493996979384,0.0729832519678716,0.0949891604893625,0.104216048803605,0.064520521328623,-0.0360369439925801,0.0816630796737458,0.0762385794203074,0.0999286396631292,0.142823803848547,0.0183916027193477,0.187957256752424,0.222620798337747,-0.106456287334012,-0.117264922907849,-0.0615693148454616,-0.0538459699624775
"POR_R24_C2",0.114820561273682,0.0423299706359824,0.113498025075774,0.165804404166822,0.10193900538359,0.243372231070924,0.155177728125473,0.163725640732585,0.139532081160316,0.172213934693194,-0.0682978427746482,-0.0405153497905949,-0.149670796959922,-0.0968915678505785,-0.0885592443558491,-0.140914039173765,-0.0395074146763194,0.0430489783099297,-0.0624311243166143,0.0651496334672384,-0.0571219504173451,0.0147621214380396,-0.0874559832893988,0.0608923596212892,0.0950671256415981,-0.0192601827819994,-0.152844943756006,-0.103831873037234,-0.0439927265445924,0.139010043866572,0.0384639306930239,-0.200634108312932,-0.20521526255473,-0.144373183246018,-0.122086135672933,-0.163864022912285,-0.108348311515302,-0.124498226943286,-0.135197707144157
"POR_R24_C3",-0.272812014256577,0.218082965812441,-0.0821637460012453,0.0917008111832469,0.238586932055348,-0.111838839214873,-0.152137141360424,-0.184058254775026,-0.131133631143963,-0.137492509141303,-0.0948601336882011,0.447490084405669,0.378018756069927,0.33959745684443,0.0639858610298154,0.189850571162295,0.203197189240073,-0.00101628303081102,0.108308416813351,0.0390721826083094,0.0979019183735084,0.00567191214414861,0.139403987801698,-0.0419899385102978,-0.0434128336730223,0.0660752508439603,0.130657823044253,0.361802852876364,0.276943904795445,-0.290737328733503,-0.233543576111349,0.150822021940886,0.263575897821877,-0.156501657590286,-0.0750901013947078,0.179860885780342,0.0542447024286425,-0.111699299212312,-0.0493464835648957
"POR_R24_H1",0.0856077759322843,0.44673917081748,0.291933883541787,-0.183380525342151,-0.179659087585669,-0.232148844707585,-0.168349143082714,-0.411776955753839,-0.508570484454675,-0.279224681464504,-0.142984691730649,-0.121880597072567,-0.0428088360490765,-0.16576718161835,-0.325620143612311,0.0926323500820017,-0.422763242366434,-0.410546269116836,0.121567434143077,-0.471540081034519,-0.855997711749377,-0.609384373794911,-0.4564423658328,-0.929028382090856,-0.556623452681498,-0.596445290859756,-0.19905927613376,-0.0739690477597051,-0.381362270437025,-0.389512572204479,-0.403039277394894,-0.200666711841793,0.00326614139114189,-0.172330760839537,-0.166371327956571,0.328218538681963,0.230317975992709,0.0549042038542184,-0.0324037567616714
"POR_R24_H2",0.0559724094647856,-0.167585077861398,-0.129319185985648,-0.206411079931388,-0.203595319512441,-0.0971472353589804,-0.149073181460478,-0.0907116456062221,-0.0157551565489675,-0.171819387762767,-0.0627830545327163,-0.116852239144779,0.0909555027587641,-0.0352399816282888,-0.0182340522893921,0.0166914836798317,-0.0774142676052345,-0.0679180033679119,0.0538476482297726,0.0331577757863436,0.0750501286464151,0.10679064464391,0.126271186829114,0.0307257793638587,-0.0321794692694828,0.0703424361885572,-0.0455948373493317,-0.0503116167127198,0.0685029023321112,0.0658146693752431,0.183584370599157,0.148428981481685,0.162162507660244,0.203900177100672,0.255207727586554,0.154290555344716,0.20965907168976,0.212827560808821,0.0921180456730272
"POR_R24_H3",-0.0839377242078962,-0.148962580923567,-0.197713649711921,-0.102228068254756,-0.129120368495222,-0.119952563299886,0.102618955727379,-0.174115295966215,-0.0814042574996813,-0.188117221007326,0.27184155573678,-0.082651423528434,0.0767086922042412,-0.00779969923293169,0.0776732132136589,0.134156969790986,-0.0368149274944473,-0.0959215881366031,0.140284459137975,0.0398621455859326,0.124972823291016,0.0829079635130711,0.13590114328868,-0.014935436275874,-0.0469370958017022,0.0343675131208981,0.0733872486812467,-0.0515827045822861,-0.0568077942569424,-0.0528721157659851,0.0153134043832832,0.0170651377178554,0.152001506204486,0.144857689206402,-0.0830382666151723,0.233676963283488,0.202731437738717,0.212055196929056,0.230199442611418
