"","sample_id","total_seq","n_fastqs","total_Mseq"
"63","MON_R24_C1_R1_trim",16411293,1,16.411293
"64","MON_R24_C1_R2_trim",16411293,1,16.411293
"65","POR_R0_H1_R1_trim",16457340,1,16.45734
"66","POR_R0_H1_R2_trim",16457340,1,16.45734
"67","POC_R120_C2_R1_trim",16540844,2,16.540844
"68","POC_R120_C2_R2_trim",16540844,2,16.540844
"69","MON_R1_H2_R1_trim",16676138,1,16.676138
"70","MON_R1_H2_R2_trim",16676138,1,16.676138
"71","MON_R72_H3_R1_trim",16724285,2,16.724285
"72","MON_R72_H3_R2_trim",16724285,2,16.724285
"73","POC_R24_H2_R1_trim",16733336,1,16.733336
"74","POC_R24_H2_R2_trim",16733336,1,16.733336
"75","MON_R12_H2_R1_trim",16820137,1,16.820137
"76","MON_R12_H2_R2_trim",16820137,1,16.820137
"77","MON_R3_C1_R1_trim",16862764,1,16.862764
"78","MON_R3_C1_R2_trim",16862764,1,16.862764
"79","POR_R0_C3_R1_trim",16973590,2,16.97359
"80","POR_R0_C3_R2_trim",16973590,2,16.97359
"81","POC_R3_H3_R1_trim",16987689,1,16.987689
"82","POC_R3_H3_R2_trim",16987689,1,16.987689
"83","MON_R0_H3_R1_trim",17067830,1,17.06783
"84","MON_R0_H3_R2_trim",17067830,1,17.06783
"85","POC_R72_H2_R1_trim",17132924,1,17.132924
"86","POC_R72_H2_R2_trim",17132924,1,17.132924
"87","POR_R120_H3_R1_trim",17159924,2,17.159924
"88","POR_R120_H3_R2_trim",17159924,2,17.159924
"89","POC_R0_H2_R1_trim",17194253,1,17.194253
"90","POC_R0_H2_R2_trim",17194253,1,17.194253
"91","POR_R24_H1_R1_trim",17263898,2,17.263898
"92","POR_R24_H1_R2_trim",17263898,2,17.263898
"93","MON_R0_C3_R1_trim",17414616,2,17.414616
"94","MON_R0_C3_R2_trim",17414616,2,17.414616
"95","POR_R1_H2_R1_trim",17470187,1,17.470187
"96","POR_R1_H2_R2_trim",17470187,1,17.470187
"97","POR_R72_C2_R1_trim",17720826,1,17.720826
"98","POR_R72_C2_R2_trim",17720826,1,17.720826
"99","POC_R72_C3_R1_trim",17855369,1,17.855369
"100","POC_R72_C3_R2_trim",17855369,1,17.855369
"101","POC_R24_H3_R1_trim",18033331,1,18.033331
"102","POC_R24_H3_R2_trim",18033331,1,18.033331
"103","MON_R12_C3_R1_trim",18046013,1,18.046013
"104","MON_R12_C3_R2_trim",18046013,1,18.046013
"105","POC_R120_H1_R1_trim",18059569,2,18.059569
"106","POC_R120_H1_R2_trim",18059569,2,18.059569
"107","POR_R12_H1_R1_trim",18094926,2,18.094926
"108","POR_R12_H1_R2_trim",18094926,2,18.094926
"109","POR_R3_H3_R1_trim",18170886,2,18.170886
"110","POR_R3_H3_R2_trim",18170886,2,18.170886
"111","MON_R1_C1_R1_trim",18187431,1,18.187431
"112","MON_R1_C1_R2_trim",18187431,1,18.187431
"113","POR_R12_C2_R1_trim",18254907,1,18.254907
"114","POR_R12_C2_R2_trim",18254907,1,18.254907
"115","POC_R0_C2_R1_trim",18332777,2,18.332777
"116","POC_R0_C2_R2_trim",18332777,2,18.332777
