Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
run-2-POC_R120_C3_S50_R1_trim	run-2-POC_R120_C3_S50_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4236187.0	575.1 Mbp	0.0	20-141	42.0	66.56654584005683	135.7747006919194	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R120_C3_S50_R2_trim	run-2-POC_R120_C3_S50_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4236187.0	575.1 Mbp	0.0	20-141	42.0	73.09078681732764	135.76940772444652	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-POC_R120_H1_S51_R1_trim	run-2-POC_R120_H1_S51_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4062499.0	552.5 Mbp	0.0	20-141	42.0	61.056603382774085	136.0026424621889	pass	pass	fail	pass	pass	pass	pass	warn	warn	warn	pass
run-2-POC_R120_H1_S51_R2_trim	run-2-POC_R120_H1_S51_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4062499.0	552.4 Mbp	0.0	20-141	43.0	66.7341805446674	135.99300627520154	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R120_H2_S55_R1_trim	run-2-POC_R120_H2_S55_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17748668.0	2.4 Gbp	0.0	20-141	42.0	51.869568486397846	137.90742195414327	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R120_H2_S55_R2_trim	run-2-POC_R120_H2_S55_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17748668.0	2.4 Gbp	0.0	20-141	43.0	59.091671344715536	137.89875482486912	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R120_H3_S17_R1_trim	run-2-POC_R120_H3_S17_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5192008.0	704.5 Mbp	0.0	20-141	43.0	63.517299363992294	135.69339030294253	pass	pass	fail	pass	pass	pass	pass	warn	warn	warn	pass
run-2-POC_R120_H3_S17_R2_trim	run-2-POC_R120_H3_S17_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5192008.0	704.4 Mbp	0.0	20-141	43.0	68.7314889453515	135.68220830938628	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R12_C3_S37_R1_trim	run-2-POC_R12_C3_S37_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3070097.0	415.9 Mbp	0.0	20-141	42.0	68.5217795222043	135.46795980713313	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R12_C3_S37_R2_trim	run-2-POC_R12_C3_S37_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3070097.0	415.8 Mbp	0.0	20-141	42.0	74.15359564641017	135.45992683618792	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-POC_R12_H3_S53_R1_trim	run-2-POC_R12_H3_S53_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3356683.0	455.4 Mbp	0.0	20-141	42.0	70.85647076531744	135.68971541250693	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-POC_R12_H3_S53_R2_trim	run-2-POC_R12_H3_S53_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3356683.0	455.4 Mbp	0.0	20-141	42.0	76.78637745612622	135.68147215569655	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-POC_R1_C1_S22_R1_trim	run-2-POC_R1_C1_S22_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5415186.0	731.1 Mbp	0.0	20-141	42.0	64.38341586067362	135.0082054429894	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R1_C1_S22_R2_trim	run-2-POC_R1_C1_S22_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5415186.0	731 Mbp	0.0	20-141	43.0	69.48617534179358	134.99843569546826	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R1_C2_S63_R1_trim	run-2-POC_R1_C2_S63_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16518713.0	2.2 Gbp	0.0	20-141	41.0	46.059870875345446	137.19518645308506	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
run-2-POC_R1_C2_S63_R2_trim	run-2-POC_R1_C2_S63_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16518713.0	2.2 Gbp	0.0	20-141	42.0	59.193067527992525	137.18880974565027	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R1_H1_S29_R1_trim	run-2-POC_R1_H1_S29_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3552150.0	480.3 Mbp	0.0	20-141	42.0	69.77385395122667	135.2331990484636	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R1_H1_S29_R2_trim	run-2-POC_R1_H1_S29_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3552150.0	480.3 Mbp	0.0	20-141	42.0	74.93144803723717	135.22488661796376	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-POC_R24_H1_S30_R1_trim	run-2-POC_R24_H1_S30_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4620041.0	621.8 Mbp	0.0	20-141	42.0	67.63228024053227	134.58253509005655	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R24_H1_S30_R2_trim	run-2-POC_R24_H1_S30_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4620041.0	621.7 Mbp	0.0	20-141	42.0	73.07733685315961	134.57380010263978	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
run-2-POC_R3_C1_S64_R1_trim	run-2-POC_R3_C1_S64_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11494595.0	1.5 Gbp	0.0	20-141	42.0	49.29672392029125	138.02686575734074	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
run-2-POC_R3_C1_S64_R2_trim	run-2-POC_R3_C1_S64_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11494595.0	1.5 Gbp	0.0	20-141	42.0	56.616527251893245	138.0202839682477	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R3_C2_S21_R1_trim	run-2-POC_R3_C2_S21_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4631183.0	625.7 Mbp	0.0	20-141	43.0	64.72043945393696	135.10466807293082	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R3_C2_S21_R2_trim	run-2-POC_R3_C2_S21_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4631183.0	625.6 Mbp	0.0	20-141	43.0	69.88737917110412	135.09493082005181	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
run-2-POC_R3_H1_S39_R1_trim	run-2-POC_R3_H1_S39_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3260792.0	448.4 Mbp	0.0	20-141	42.0	66.86953694459663	137.5330226521655	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
