"","POR_R0_C1","POR_R0_C2","POR_R0_C3","POR_R0_H1","POR_R0_H2","POR_R0_H3","POR_R1_C1","POR_R1_C2","POR_R1_C3","POR_R1_H1","POR_R1_H2","POR_R1_H3","POR_R3_C1","POR_R3_C2","POR_R3_C3","POR_R3_H1","POR_R3_H2","POR_R3_H3","POR_R12_C1","POR_R12_C2","POR_R12_C3","POR_R12_H1","POR_R12_H2","POR_R12_H3","POR_R24_C1","POR_R24_C2","POR_R24_C3","POR_R24_H2","POR_R24_H3","POR_R72_C1","POR_R72_C2","POR_R72_C3","POR_R72_H3","POR_R120_C1","POR_R120_C2","POR_R120_C3","POR_R120_H1","POR_R120_H2","POR_R120_H3"
"Porites_compressa_HIv1___RNAseq.g4351.t1",7.34725932549301,7.16647943097876,6.96800070549674,7.62463104124857,7.46556132652229,7.72926411879891,7.63766855729228,7.49956345624717,6.94490196837934,7.03382844479911,7.21072553607978,7.67020929800518,7.80493017444502,7.00811817775568,7.47294759758321,6.65764963507907,6.76339706127432,6.74544677901781,7.75835239965473,7.36682970063418,7.96602695817045,6.99672914112308,7.16908910462127,6.8939025691576,7.52444754419594,7.75967092991206,7.01054704111098,7.03512267004851,7.01161097193003,7.43604155731339,7.52671968375447,7.77409402635538,6.88906998536356,7.64808563474356,7.59161214629186,8.07349534751084,7.19099448568798,7.28660446169577,6.90525567567551
"Porites_compressa_HIv1___RNAseq.g4352.t1",7.40080379162684,8.10536119758691,7.64285006937653,7.86685336050648,7.21551572359486,7.31358840108035,6.84109398371442,7.23448947219691,7.27819024811755,6.72587215377838,7.32839399310881,7.58297576354078,7.37209522664658,8.10322611052211,7.17411841901869,7.33719479351059,7.31707915191295,7.09115950668547,7.75835239965473,7.32544401169601,7.28815687518053,7.82030932279838,7.94538841973181,7.62168700454761,7.20893552081675,7.49010758686584,7.72660118964981,7.2744641456538,7.69697695077892,6.75881045692499,6.98095061372679,7.03004450254103,7.19984400232323,7.60886277466329,7.56835694866325,7.00192658899662,7.66627507915176,7.65684055748673,7.50888948539788
"Porites_compressa_HIv1___RNAseq.g4353.t1",6.72158444628069,6.62442186308119,6.7162075647452,6.34983227214132,6.49474886200253,5.95259633467598,5.95259633467598,6.79550458522995,6.44595671332815,6.81464931081591,6.54417923912193,6.42263179653271,6.9169186046025,6.64618891955054,6.41015624941559,6.56869033442809,6.5621700322578,6.59314670821656,5.95259633467598,5.95259633467598,5.95259633467598,6.45708431844011,6.57103939862922,6.22875190131231,6.65680782017088,6.98810274049176,6.88713971555376,6.69402010203524,6.68752281574066,6.67552830075071,7.08232302810643,6.51056090981918,7.01065932481459,6.58604262949933,6.8803704736802,6.91387309749762,6.79965506664067,6.82603719790657,6.5531900394771
"Porites_compressa_HIv1___RNAseq.g4354.t1",8.21668887281853,8.30776686072422,9.09628224404655,8.70968820047123,8.71213413835342,8.6458690837245,8.74846901444489,8.74476069891297,8.05918163126854,7.90684431062447,8.31157948172686,8.39358643416372,9.13297850915999,8.27761570084976,8.94544233881542,8.52649941354247,7.88117148942255,8.4883903539139,8.96409709236226,8.98221061929925,8.73921132186106,8.22132403058231,8.35918904245984,8.1979490064005,8.92609760830712,8.96908808947617,7.92241276820833,8.62216413715699,8.55012773157114,8.60956022515139,8.55831763765406,8.85366543016818,8.49444104350363,8.90641297242533,9.2753098450309,9.1046411999289,8.98886283404927,8.98229530418921,8.82825411130397
"Porites_compressa_HIv1___RNAseq.g4355.t1",11.3206325714058,11.66379994307,11.5312651906198,11.0716282364209,10.8979562888394,11.336405488579,10.872264932929,11.3336541030494,11.9207516833913,10.7372074582823,10.6720802206328,11.1993621078542,11.1762658999038,11.3449762814599,11.0603112107357,11.2951245771514,11.3745043006121,11.3474135927333,11.4757683276439,11.2361327668389,11.3153731613695,10.9877941344193,11.3927419030903,12.1012338842835,11.2707589802809,10.8286711980565,11.036600210176,11.4274661924672,11.5144891065483,11.1125665655606,11.2617869739879,11.4075648592829,11.216532038303,10.6121007115073,11.0278818650862,10.8222383814923,10.560599015122,10.5046171437229,11.3995803062042
"Porites_compressa_HIv1___RNAseq.g4356.t1",8.03859865009991,7.94490731804187,8.03727816308253,7.53164395578236,7.95866473390141,7.53187784381457,7.94531004949326,7.58288373010373,8.32905996862013,8.07174035730998,7.17907523531851,7.7989870318122,7.43921652127042,8.76232441463018,7.35029370413437,8.11809063008432,8.01723547761013,7.46440912985336,7.61691301346443,8.25061749331634,7.18229799205053,8.5501168481372,8.5434462370156,8.47520820686127,7.9033992009138,7.46558887890344,8.79069165909027,8.14509205675297,8.50889955257597,7.53289078822936,7.74435629098722,7.58765658591062,8.31186147612669,7.58875174562566,7.56364978716266,7.43473658705862,8.33730333774498,8.43662166861564,8.51950841630046
"Porites_compressa_HIv1___RNAseq.g4357.t1",7.41120550350419,7.44572959383314,7.36896868133993,7.81336832154962,7.57751569426188,7.50680577099565,7.30126002782777,7.53818285544127,7.380855451127,7.9358484013951,7.62037812682915,7.39414215281073,7.55665213608135,7.88994648357972,7.07293302234461,6.77197238572967,7.07713226009941,6.69842405462199,8.2498830996271,7.86695200369416,7.38430760896843,7.06660864899473,7.41559492680147,7.32010748556623,7.3926625110678,7.54919365466049,8.26524926864698,7.58345130035925,7.55575762482125,7.74474834846666,7.58200437759932,7.48208778929861,7.30851063155959,7.43723885933258,7.53015373256527,7.34968846300043,7.55387294892648,7.65155197854604,7.40689939590388
"Porites_compressa_HIv1___RNAseq.g4358.t1",8.44340926153375,8.30776686072422,8.4151674827169,8.05165216191471,8.07799169352369,8.38224654607855,8.40070141742785,8.57991128375455,8.47426559574929,8.24087633975678,7.68314583688098,8.57264907885406,8.48629513151271,8.05705241031826,8.28068204743392,8.21653160834896,8.07854525436262,8.57874986524245,8.18782252867191,8.61597777020723,8.28492664532448,8.3576399861859,8.43177447627169,8.06245417614915,8.4463903723701,8.40506259337124,7.66616890264431,8.58206301638096,8.2665807673267,8.12679358856072,8.24386050516705,8.03328054988661,8.51410074591716,8.35812479396396,8.36299361091583,8.68377856147069,8.50364030695794,8.46648774759501,8.51319900773632
"Porites_compressa_HIv1___RNAseq.g4359.t1",8.35919755692624,5.95259633467598,7.1082716493875,8.09616521776808,6.88106135284421,7.97592667381934,7.85100667103313,7.36626594812737,8.71232822195051,7.15484997452172,7.07751966956982,7.58991970300272,8.01956934479091,7.0343357579413,7.72040709499769,6.90133487786033,7.06910660299613,7.9490312855931,8.07162760705362,7.43431457219418,8.96131211116343,7.70991176329924,7.24877821577515,7.53863990040277,7.22035197300156,7.57200620930996,6.91328682181178,7.37905026021781,6.6163661439889,7.27273160216248,7.22493109841379,6.61774880404416,7.40705414008228,7.35306841159221,8.61205646692961,7.15595541815206,7.01449051157645,7.3745197965902,6.93041652905834
"Porites_compressa_HIv1___TS.g7642.t1",6.82445651963528,6.59051098993224,6.46239559011736,6.59793719616574,5.95259633467598,6.61246358519988,5.95259633467598,6.79550458522995,6.64699559049289,5.95259633467598,5.95259633467598,6.32480454464443,6.82320312370878,6.41382888215179,6.63542506783287,6.76014225961064,6.83006509242576,7.30653154332338,6.50518885761815,6.6516013844061,6.76606286268338,7.27452888913192,7.56047231866619,7.2956465908625,6.69992969793961,6.94744834950139,5.95259633467598,7.32803571675368,7.41505437420841,6.80943928353642,6.70273862257733,5.95259633467598,6.83717313198151,5.95259633467598,7.07220118226099,6.8661664819742,6.93681947885899,7.029015936451,6.73502445384488
"Porites_compressa_HIv1___TS.g7643.t1",6.57371089032315,6.37978339340937,6.66990681090842,7.19483588368458,5.95259633467598,6.84538854232773,6.92295658456757,6.9026027791732,6.67478295858066,7.18287893119236,5.95259633467598,6.97356420103838,6.94949845437168,6.57890091807685,6.79997159031528,6.64367351299921,6.72767465014171,7.30653154332338,6.58940069709624,6.51970371725785,6.89814000201549,6.91205187200185,6.92746867309782,7.38273157331606,6.50600083094759,7.02697621681586,5.95259633467598,6.92320127127697,6.8204226062849,6.61366764315685,6.58597234941896,6.46962537320732,6.69607939703318,5.95259633467598,7.18543069271523,6.8661664819742,6.6452409228867,6.78244068055054,7.00176755525813
"Porites_compressa_HIv1___TS.g7644.t1",6.32897354869319,5.95259633467598,5.95259633467598,5.95259633467598,6.53170242106283,6.20386470818635,5.95259633467598,6.29378008825685,5.95259633467598,5.95259633467598,5.95259633467598,6.67267975540338,6.47484149818652,5.95259633467598,5.95259633467598,6.23697194447497,6.51262701380221,5.95259633467598,5.95259633467598,5.95259633467598,6.44723291597083,6.2232355047611,5.95259633467598,6.40242096903035,6.17363140921486,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.26171050342147,6.6496105148329,6.23626925655167,5.95259633467598,5.95259633467598,5.95259633467598,6.14829393670646,5.95259633467598,5.95259633467598
"Porites_compressa_HIv1___RNAseq.g4363.t1",6.37310309435882,5.95259633467598,6.56601019435638,5.95259633467598,6.68779948297058,6.30749722337602,6.5197942949007,6.24824158051926,6.30230040457432,5.95259633467598,6.46580876642836,5.95259633467598,6.29077298367697,5.95259633467598,6.41015624941559,6.35411842625349,6.23392713299791,5.95259633467598,5.95259633467598,6.29090597517593,5.95259633467598,6.33478086779795,6.53164190787926,6.30875109181538,6.46092085458289,6.25127569139545,5.95259633467598,6.4288947705469,6.29922107431923,5.95259633467598,5.95259633467598,6.51056090981918,6.29974513043416,6.58604262949933,6.22465731617899,5.95259633467598,6.43014009848189,6.46911455068895,6.59400871943579
"Porites_compressa_HIv1___TS.g7645.t1",6.4833860880437,5.95259633467598,6.36003921678823,6.55687589404393,6.36345109539683,6.30749722337602,6.5197942949007,6.63030667632233,6.58749418678095,6.34268966333488,5.95259633467598,6.61445145507439,6.53570031987861,6.55468763390986,6.41015624941559,6.32833638159071,6.76339706127432,6.56378526600608,6.50518885761815,6.31787387355631,6.30320937260224,6.33478086779795,6.51786485827862,6.58621957265769,6.31296066016824,6.42359915845387,6.51400699011263,6.38377716559745,6.52134802635285,6.4664313660485,6.26171050342147,6.31916381869985,6.42170350196659,6.86276908830698,6.42243922814969,6.48586222261925,6.60394335329351,6.4473424487259,6.5531900394771
"Porites_compressa_HIv1___RNAseq.g4365.t1",6.57371089032315,5.95259633467598,6.26103107218676,5.95259633467598,7.05458829159044,6.53858156792558,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.40548549892386,6.4749569932703,5.95259633467598,5.95259633467598,6.34983282476419,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.29803217865275,6.6496105148329,5.95259633467598,5.95259633467598,6.70262963091383,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598
