"","MEmagenta","MElightcyan","MElightyellow","MEpurple","MEyellow","MEgrey60","MEcyan","MEbrown","MEred","MEblue","MEgreen","MEblack","MElightgreen","MEgreenyellow","MEmidnightblue","MEturquoise","MEsalmon","MEtan"
"POC_R24_C1",0.204942411485149,0.0445149879848904,-0.0387830515220244,-0.0551190964702707,-0.0711650206613659,0.0476758706141423,-0.0710492102551838,0.050387067409438,-0.0574035440974792,0.133528899536527,0.127547758504272,0.0295462525441642,-0.0246941335506181,-0.105210328948926,-0.0368901114955447,-0.115060526233966,-0.100584910299142,-0.113155705617128
"POC_R24_C2",0.0632893009809668,0.10767077564401,-0.00882976516953259,-0.0949890033692128,-0.100810734718227,0.0569762005943648,-0.116904264286509,0.0605730765081844,-0.00657863114969592,0.134355187739111,0.137043337182758,0.0405468655333015,0.00124425423048406,-0.0998180899864093,0.0303715142351919,-0.138125184665498,-0.04047376763907,-0.0939943182445609
"POC_R24_C3",0.00359659559644598,0.121262521895,-0.0530594055887969,-0.0928227230193323,-0.0942655378377232,0.034302139126898,-0.200310112906746,0.0216337081096837,-0.100210640127734,0.131875598890257,0.139514348563693,0.0996789914645391,0.0262096093526172,-0.0229962358071484,0.118146525869728,-0.109761169294734,-0.0102077985162142,-0.0733476361703733
"POC_R24_H1",-0.0842338055899214,-0.228797808093388,-0.208045423958844,-0.12331722526474,-0.00270917874065505,-0.0281133919015979,0.0957380281701411,-0.219862980381679,-0.0227344177232099,-0.202611773303707,-0.0514047498868643,0.151251281574311,0.171295870309386,0.208476373173278,-0.000656608638452001,0.192618236647471,0.162976413879953,0.254309087996165
"POC_R24_H2",-0.20081170464827,-0.131028990543768,-0.160872459594253,-0.122187440899717,-0.000699218156989959,-0.020170469842,-0.00756733829640592,-0.196573655566593,-0.0638538394834278,-0.174927046968005,-0.0334988607234646,0.183348124807987,0.184840694599237,0.227747219863798,0.0485262669908613,0.168829963028565,0.056720292298949,0.202900866301383
"POC_R24_H3",-0.0497794837386095,0.000677748866079374,-0.237247775064353,-0.115166803207984,0.0233975251439017,-0.0133635237162825,-0.183332323187751,-0.28863299065226,-0.179479464068842,-0.19178966618973,-0.0206856459088515,0.257113755221226,0.0965999099817427,0.338301189162446,0.290488266294588,0.177802298884372,0.0992445256725872,0.206069225759742
"POC_R72_C1",0.230950743664285,-0.0918875501648863,-0.0507946773510802,0.015052735654522,-0.0580577124322875,0.0645039091385651,-0.047159877537852,0.0670762283723005,0.0202002681539297,0.0993152073101495,0.0813338684618331,0.0108490729144199,-0.0642645677366399,-0.0158320210948024,0.0711040198787481,-0.108721333669364,-0.0897918583740412,-0.127333200297031
"POC_R72_C2",-0.0344435993408837,-0.000435410942437862,0.061277141721148,-0.0494854729270972,-0.0983387552628715,0.0818744794665151,-0.0304486064813361,0.132282646198909,0.0571013310176251,0.149282392397927,0.0942298644856469,-0.051297847956896,0.0641774097653194,-0.185252196673684,-0.143511911438417,-0.120683749431522,0.0769459493460077,-0.0374243582116718
"POC_R72_C3",0.0993270898808905,-0.141627743631364,0.00104482331561595,-0.0539731114390364,-0.116510795003514,0.0301260301822836,0.122070762175767,0.154188723200205,0.195948903814565,0.137170231903324,0.102630374277991,-0.0409099143618297,0.0294666459029228,-0.163267563140716,-0.155269773374316,-0.142720791699355,-0.0483792590040593,-0.0949780341892108
"POC_R72_H1",-0.0845365218066048,-0.043780372143178,-0.210592554235397,-0.16265161672457,-0.0395175652149041,-0.392291587489083,-0.213428018163163,-0.25884850227266,-0.279396768715228,-0.0855930420881226,0.0325431613685975,0.171826268308802,0.169594823456865,0.141455147013827,0.141934316242481,0.137048398512352,0.296132173813641,0.279397739469361
"POC_R72_H2",-0.0465369455643222,-0.165681991419028,-0.229843171665915,-0.151592901139461,-0.0341252689910539,-0.479236027001979,-0.0394149419322138,-0.235054169674186,-0.139031845220539,-0.119566631080941,0.00191434538365989,0.139051572445229,0.218366726656245,0.120685982969432,0.0696231530082759,0.147644776452796,0.287689443261166,0.300787822579851
