task,species,t_hours,treatment,day,time,type,Tank,fragment_name,preservative,Plug #,Sampled?,Notes
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,LCM,Tank_6,POR_R24_C3,PAXgene,1140,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,spatial,Tank_6,POR_S24_C3,Formalin,1727,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,phys,Tank_2,POR_P24_H1,LN2,1691,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_2,POR_R24_H1,DNA/RNA shield,1186,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,LCM,Tank_2,POR_R24_H1,PAXgene,1186,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,spatial,Tank_2,POR_S24_H1,Formalin,1621,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,phys,Tank_3,POR_P24_H2,LN2,2982,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_3,POR_R24_H2,DNA/RNA shield,2201,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,LCM,Tank_3,POR_R24_H2,PAXgene,2201,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,spatial,Tank_3,POR_S24_H2,Formalin,1110,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,phys,Tank_5,POR_P24_H3,LN2,1486,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,bulk_rna,Tank_5,POR_R24_H3,DNA/RNA shield,2079,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,LCM,Tank_5,POR_R24_H3,PAXgene,2079,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,spatial,Tank_5,POR_S24_H3,Formalin,1120,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,phys,Tank_1,POR_P72_C1,LN2,2997,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,bulk_rna,Tank_1,POR_R72_C1,DNA/RNA shield,1439,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,LCM,Tank_1,POR_R72_C1,PAXgene,1439,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,spatial,Tank_1,POR_S72_C1,Formalin,2737,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,phys,Tank_4,POR_P72_C2,LN2,1274,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,bulk_rna,Tank_4,POR_R72_C2,DNA/RNA shield,3002,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,LCM,Tank_4,POR_R72_C2,PAXgene,3002,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,spatial,Tank_4,POR_S72_C2,Formalin,1174,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,phys,Tank_6,POR_P72_C3,LN2,1223,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,bulk_rna,Tank_6,POR_R72_C3,DNA/RNA shield,1125,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,LCM,Tank_6,POR_R72_C3,PAXgene,1125,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,spatial,Tank_6,POR_S72_C3,Formalin,1234,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,phys,Tank_2,POR_P72_H1,LN2,1495,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,bulk_rna,Tank_2,POR_R72_H1,DNA/RNA shield,1242,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,LCM,Tank_2,POR_R72_H1,PAXgene,1242,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,spatial,Tank_2,POR_S72_H1,Formalin,2404,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,phys,Tank_3,POR_P72_H2,LN2,1470,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,bulk_rna,Tank_3,POR_R72_H2,DNA/RNA shield,1128,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,LCM,Tank_3,POR_R72_H2,PAXgene,1128,Yes,
