Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POR_R1_H1	18689639.0	274.0	2189538.0	11.72	275.46	2108423.0	1955457.0	2082224.0	10136.0	985.0	15078.0	0.99	0.04	2.54	0.03	2.09	185663.0	0.99	15381817.0	82.3	0.0	4.32	0.67	0	807399	125222
POR_R1_H2	17470187.0	275.0	1812325.0	10.37	276.08	1882466.0	1748141.0	1861454.0	8409.0	856.0	11747.0	0.97	0.04	2.59	0.03	2.06	115571.0	0.66	14619643.0	83.68	0.0	4.66	0.62	0	814307	108341
POR_R1_H3	21850264.0	275.0	5573635.0	25.51	276.0	4897361.0	4527885.0	4827050.0	26500.0	2413.0	41398.0	1.02	0.05	2.63	0.04	2.15	398489.0	1.82	13530864.0	61.93	0.0	10.22	0.52	0	2233628	113648
POR_R24_C1	21431880.0	275.0	8257577.0	38.53	276.43	8119408.0	7549765.0	8026743.0	39458.0	3380.0	49827.0	0.94	0.04	2.69	0.03	2.07	408914.0	1.91	10122371.0	47.23	0.0	11.9	0.43	0	2550845	92173
POR_R24_C2	15996585.0	275.0	3154329.0	19.72	276.24	3300296.0	3087462.0	3263356.0	16253.0	1193.0	19494.0	0.94	0.04	2.58	0.03	2.05	154030.0	0.96	11463958.0	71.67	0.0	7.12	0.53	0	1139449	84819
POR_R24_C3	37618495.0	260.0	4338581.0	11.53	269.81	3710799.0	3366548.0	3645841.0	22644.0	1916.0	40398.0	1.05	0.05	2.63	0.04	2.19	448836.0	1.19	29256494.0	77.77	0.0	8.87	0.64	0	3334023	240561
POR_R24_H1	17263898.0	274.0	1324638.0	7.67	274.71	1286288.0	1166762.0	1271224.0	4722.0	691.0	9651.0	1.01	0.05	2.79	0.04	2.27	155319.0	0.9	13885470.0	80.43	0.0	9.8	1.2	0	1691365	207106
POR_R24_H2	15751177.0	275.0	7303466.0	46.37	276.2	6543391.0	6076440.0	6457134.0	37470.0	2994.0	45793.0	0.97	0.05	2.68	0.04	2.12	509379.0	3.23	5636017.0	35.78	0.0	14.15	0.47	0	2228301	74014
POR_R24_H3	20794167.0	276.0	9626256.0	46.29	276.54	8422986.0	7805036.0	8316586.0	43066.0	3520.0	59814.0	0.95	0.05	2.63	0.04	2.13	575529.0	2.77	6710763.0	32.27	0.0	18.08	0.59	0	3758954	122665
POR_R3_C1	15451984.0	275.0	5825651.0	37.7	276.33	5942896.0	5578045.0	5876427.0	30127.0	2192.0	34150.0	0.96	0.04	2.64	0.03	2.05	267707.0	1.73	7346028.0	47.54	0.0	12.6	0.43	0	1946181	66417
POR_R3_C2	26946850.0	267.0	7653712.0	28.4	271.75	6291569.0	5747243.0	6184463.0	36682.0	3131.0	67293.0	1.03	0.05	2.6	0.04	2.11	555756.0	2.06	13322779.0	49.44	0.0	19.53	0.56	0	5263673	150930
POR_R3_C3	14949566.0	275.0	2731650.0	18.27	276.36	2888023.0	2712318.0	2857593.0	13498.0	946.0	15986.0	0.93	0.04	2.62	0.03	2.03	129490.0	0.87	10898596.0	72.9	0.0	7.44	0.52	0	1112102	77728
POR_R3_H1	30984777.0	267.0	9701365.0	31.31	273.11	9076476.0	8410574.0	8957556.0	44698.0	2904.0	71318.0	0.96	0.04	2.67	0.04	1.99	515874.0	1.66	15309281.0	49.41	0.0	17.2	0.42	0	5328151	130106
POR_R3_H2	19612904.0	276.0	10642501.0	54.26	276.58	8771418.0	8139466.0	8656802.0	43277.0	3089.0	68250.0	0.96	0.05	2.67	0.04	2.01	543458.0	2.77	5034013.0	25.67	0.0	16.92	0.38	0	3318405	74527
POR_R3_H3	18170886.0	273.0	5046596.0	27.77	275.31	5087430.0	4761871.0	5027354.0	27994.0	1371.0	30711.0	0.96	0.04	2.63	0.03	2.0	246500.0	1.36	10983678.0	60.45	0.0	9.75	0.68	0	1770622	123490
POR_R72_C1	15851023.0	275.0	3302557.0	20.83	275.91	3085452.0	2870028.0	3045102.0	16005.0	1418.0	22927.0	1.02	0.05	2.62	0.04	2.14	214221.0	1.35	11160408.0	70.41	0.0	6.85	0.56	0	1085126	88711
POR_R72_C2	17720826.0	275.0	5738452.0	32.38	276.47	5454405.0	5096551.0	5390243.0	25190.0	2205.0	36767.0	0.93	0.05	2.72	0.04	2.04	279614.0	1.58	9522577.0	53.74	0.0	11.94	0.37	0	2114654	65529
POR_R72_C3	15342750.0	275.0	3602079.0	23.48	275.0	3480045.0	3229189.0	3435122.0	16560.0	1253.0	27110.0	0.97	0.05	2.54	0.04	2.04	186780.0	1.22	8282403.0	53.98	0.0	20.82	0.5	0	3194765	76723
POR_R72_H1	15468570.0	271.0	990577.0	6.4	274.47	975601.0	901469.0	964550.0	4425.0	253.0	6373.0	0.98	0.04	2.55	0.03	2.1	77118.0	0.5	12136195.0	78.46	0.0	13.27	1.37	0	2052753	211927
POR_R72_H2	15160588.0	274.0	1329487.0	8.77	275.21	1376652.0	1274996.0	1358904.0	9547.0	531.0	7670.0	0.98	0.04	2.49	0.03	2.22	139968.0	0.92	11979354.0	79.02	0.0	10.43	0.86	0	1581387	130392
POR_R72_H3	16095937.0	276.0	7918270.0	49.19	276.15	6953070.0	6400295.0	6857970.0	37539.0	2945.0	54616.0	0.99	0.05	2.7	0.04	2.14	520253.0	3.23	4476782.0	27.81	0.0	19.35	0.41	0	3114637	65995
