"Gene","cluster","membership","response_type"
"Pocillopora_acuta_HIv2___RNAseq.4815_t",6,0.306466789985172,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.4816_t",4,0.954032331687862,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.4818_t",4,0.894787727605863,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.4822_t",6,0.41745347531475,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.4983_t",6,0.412027453538068,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.5152_t",1,0.748470052860432,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.5221_t",3,0.315602617495773,"Other"
"Pocillopora_acuta_HIv2___RNAseq.5244_t",5,0.677370867241579,"Other"
"Pocillopora_acuta_HIv2___RNAseq.541_t",2,0.936480948797915,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.5465_t",3,0.469970876678519,"Other"
"Pocillopora_acuta_HIv2___RNAseq.5473_t",5,0.598745570331897,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.5515_t",6,0.525861609319638,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.5656_t",5,0.671018336866906,"Other"
"Pocillopora_acuta_HIv2___RNAseq.5787_t",3,0.853952004630207,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.5841_t",5,0.963972650664618,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.5865_t",6,0.915241490780527,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.5883_t",3,0.417827734800556,"Other"
"Pocillopora_acuta_HIv2___RNAseq.5910_t",5,0.70512694954616,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.6093_ta",6,0.972849081760319,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.6093_tb",2,0.774014218203122,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.6235_t",5,0.486292815093082,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.6286_t",2,0.808704487082299,"Other"
"Pocillopora_acuta_HIv2___RNAseq.641_t",2,0.431126119263357,"Other"
"Pocillopora_acuta_HIv2___RNAseq.6765_t",1,0.506521528577545,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.6830_t",3,0.439745215036244,"Other"
"Pocillopora_acuta_HIv2___RNAseq.6831_t",4,0.557164203985672,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.6956_t",6,0.684009646756749,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.6974_t",4,0.962409726753924,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.7165_t",4,0.905455270729808,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.7549_t",1,0.692419675250078,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.7709_t",2,0.943932530330656,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.7765_t",3,0.960835059842206,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.7766_t",3,0.898222941970944,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.7853_t",3,0.292067779535826,"Other"
"Pocillopora_acuta_HIv2___RNAseq.7964_t",2,0.966480222732743,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.7998_t",4,0.485927427972775,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.808_t",6,0.339133126272852,"Other"
"Pocillopora_acuta_HIv2___RNAseq.8142_t",6,0.570139721551952,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.8145_t",6,0.269694569194042,"Other"
"Pocillopora_acuta_HIv2___RNAseq.8366_t",3,0.879479017172943,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.8466_t",5,0.680647819725921,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.8665_t",3,0.961015701897168,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.8784_t",2,0.85777653972462,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.8951_t",5,0.734052103410678,"Other"
"Pocillopora_acuta_HIv2___RNAseq.9044_t",6,0.655430227191167,"Other"
"Pocillopora_acuta_HIv2___RNAseq.9201_t",5,0.901155239644551,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.9213_t",2,0.52365784161619,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.9335_t",6,0.565212934105938,"Other"
"Pocillopora_acuta_HIv2___RNAseq.9346_t",3,0.858208863449282,"Other"
"Pocillopora_acuta_HIv2___RNAseq.9527_t",5,0.75537803236596,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.953_t",5,0.405878990038613,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.9567_t",1,0.874635083501443,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.9584_t",6,0.880118213565245,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.97_t",2,0.758322608598841,"Other"
"Pocillopora_acuta_HIv2___RNAseq.9918_t",2,0.838782832203154,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g100.t1",1,0.569314649504401,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g1000.t1",5,0.665177578262708,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g1001.t1",1,0.732764768228567,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10027.t1",5,0.53296462666815,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g10028.t1",2,0.936523853466042,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10032.t1",1,0.931354714539977,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10039.t1",2,0.801684647525665,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10040.t1",5,0.617757660806705,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g10041.t1",5,0.54051236664593,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10049.t1",5,0.842080950261127,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10050.t1",5,0.89142619598541,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10057.t1",5,0.728714309634259,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10069.t1",4,0.446566918693674,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g1008.t1",2,0.970713083681758,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10085.t1",6,0.467537747358628,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10086.t1",6,0.525808839136978,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10091.t1",6,0.355098763125129,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10092.t1",6,0.661794310497295,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10093.t2",2,0.916756890098255,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10095.t1",3,0.605565487219309,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10096.t1",6,0.459879114715635,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g10097.t1",6,0.745249189527652,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10098.t1",2,0.812513357774394,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10099.t1",4,0.893212290495784,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10104.t1",4,0.611395256902459,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g10113.t1",2,0.49175060374081,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10115.t1",4,0.75040496882787,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10138.t1",2,0.722941054664476,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g1014.t1",1,0.507056901304278,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g1015.t1",4,0.748089834056564,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g1016.t1",4,0.559374159631502,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g10164.t1",1,0.682534469354737,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10165.t1",6,0.854474586866416,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g10169.t1",1,0.502861816957831,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10172.t1",2,0.586557675185592,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10173.t1",2,0.504594833108035,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10174.t2",4,0.803930406256568,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g10176.t1",6,0.870476444134147,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g10178.t1",2,0.290759218569569,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10180.t1",4,0.396338278632174,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10183.t2",6,0.79992250650902,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10207.t1",2,0.327627183281184,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g10216.t1",2,0.856511798755788,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g1022.t1",2,0.718734829526157,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g1023.t1",4,0.881734903117521,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10257.t1",5,0.919556357956791,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10258.t1",3,0.489001112074265,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g1026.t1",2,0.696475788791704,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10260.t1",6,0.553498495877572,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10265.t1",5,0.732564475179507,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g10266.t1",5,0.600347077730068,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10268.t1",1,0.911314338338172,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g1027.t1",2,0.764281060198364,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10270.t1",5,0.430986810609692,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10271.t1",1,0.932758586307819,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g10276.t2",4,0.700086429110049,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10277.t1",6,0.794274118826776,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10278.t1",6,0.191998035940057,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g10279.t1",3,0.771498184622178,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g10282.t1",3,0.702150120444657,"Monotonous"
