"","sample_id","total_seq","n_fastqs","total_Mseq"
"39","MON_R12_H3_R1_trim",15284909,1,15.284909
"40","MON_R12_H3_R2_trim",15284909,1,15.284909
"41","MON_R3_H3_R1_trim",15288598,1,15.288598
"42","MON_R3_H3_R2_trim",15288598,1,15.288598
"43","POC_R12_H3_R1_trim",15294654,2,15.294654
"44","POC_R12_H3_R2_trim",15294654,2,15.294654
"45","MON_R72_H1_R1_trim",15327535,1,15.327535
"46","MON_R72_H1_R2_trim",15327535,1,15.327535
"47","POR_R72_C3_R1_trim",15342750,1,15.34275
"48","POR_R72_C3_R2_trim",15342750,1,15.34275
"49","POC_R3_H1_R1_trim",15404553,2,15.404553
"50","POC_R3_H1_R2_trim",15404553,2,15.404553
"51","POC_R72_H3_R1_trim",15415216,1,15.415216
"52","POC_R72_H3_R2_trim",15415216,1,15.415216
"53","MON_R24_H2_R1_trim",15431326,1,15.431326
"54","MON_R24_H2_R2_trim",15431326,1,15.431326
"55","POR_R3_C1_R1_trim",15451984,1,15.451984
"56","POR_R3_C1_R2_trim",15451984,1,15.451984
"57","POR_R72_H1_R1_trim",15468570,2,15.46857
"58","POR_R72_H1_R2_trim",15468570,2,15.46857
"59","MON_R120_H1_R1_trim",15508429,1,15.508429
"60","MON_R120_H1_R2_trim",15508429,1,15.508429
"61","POR_R24_H2_R1_trim",15751177,1,15.751177
"62","POR_R24_H2_R2_trim",15751177,1,15.751177
"63","MON_R3_C2_R1_trim",15798960,1,15.79896
"64","MON_R3_C2_R2_trim",15798960,1,15.79896
"65","POR_R72_C1_R1_trim",15851023,1,15.851023
"66","POR_R72_C1_R2_trim",15851023,1,15.851023
"67","MON_R72_C2_R1_trim",15855701,2,15.855701
"68","MON_R72_C2_R2_trim",15855701,2,15.855701
"69","MON_R12_C2_R1_trim",15870136,1,15.870136
"70","MON_R12_C2_R2_trim",15870136,1,15.870136
"71","POC_R12_C1_R1_trim",15950909,1,15.950909
"72","POC_R12_C1_R2_trim",15950909,1,15.950909
"73","POR_R1_C1_R1_trim",15994188,2,15.994188
"74","POR_R1_C1_R2_trim",15994188,2,15.994188
"75","POR_R24_C2_R1_trim",15996585,1,15.996585
"76","POR_R24_C2_R2_trim",15996585,1,15.996585
"77","POR_R72_H3_R1_trim",16095937,1,16.095937
"78","POR_R72_H3_R2_trim",16095937,1,16.095937
"79","MON_R0_C2_R1_trim",16101198,2,16.101198
"80","MON_R0_C2_R2_trim",16101198,2,16.101198
"81","POR_R1_C3_R1_trim",16155170,2,16.15517
"82","POR_R1_C3_R2_trim",16155170,2,16.15517
"83","MON_R1_H3_R1_trim",16190302,2,16.190302
"84","MON_R1_H3_R2_trim",16190302,2,16.190302
"85","POC_R24_C2_R1_trim",16396475,1,16.396475
"86","POC_R24_C2_R2_trim",16396475,1,16.396475
"87","MON_R24_C1_R1_trim",16411293,1,16.411293
"88","MON_R24_C1_R2_trim",16411293,1,16.411293
"89","POR_R0_H1_R1_trim",16457340,1,16.45734
"90","POR_R0_H1_R2_trim",16457340,1,16.45734
"91","POC_R120_C2_R1_trim",16540844,2,16.540844
"92","POC_R120_C2_R2_trim",16540844,2,16.540844
"93","MON_R1_H2_R1_trim",16676138,1,16.676138
"94","MON_R1_H2_R2_trim",16676138,1,16.676138
