gene_id	module	color
Montipora_capitata_HIv3___RNAseq.g3418.t1	ME14	cyan
Montipora_capitata_HIv3___RNAseq.g3473.t1	ME3	brown
Montipora_capitata_HIv3___TS.g41049.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g3490.t1	ME0	grey
Montipora_capitata_HIv3___TS.g40459.t2	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g2901.t1	ME5	green
Montipora_capitata_HIv3___RNAseq.g2902.t1	ME20	royalblue
Montipora_capitata_HIv3___RNAseq.g2903.t1	ME8	pink
Montipora_capitata_HIv3___RNAseq.g2904.t1	ME13	salmon
Montipora_capitata_HIv3___RNAseq.g2905.t1	ME11	greenyellow
Montipora_capitata_HIv3___RNAseq.g2906.t1	ME11	greenyellow
Montipora_capitata_HIv3___RNAseq.g2907.t1	ME18	lightgreen
Montipora_capitata_HIv3___TS.g40467.t1	ME23	darkturquoise
Montipora_capitata_HIv3___RNAseq.g2909.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g2910.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g2911.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g2912.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2913.t1	ME10	purple
Montipora_capitata_HIv3___RNAseq.g2914.t1	ME20	royalblue
Montipora_capitata_HIv3___RNAseq.g2915.t1a	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2915.t1b	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g2916.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2917.t1	ME15	midnightblue
Montipora_capitata_HIv3___RNAseq.g2918.t1	ME15	midnightblue
Montipora_capitata_HIv3___RNAseq.g2919.t1	ME16	lightcyan
Montipora_capitata_HIv3___RNAseq.g2920.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2921.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2923.t1a	ME0	grey
Montipora_capitata_HIv3___TS.g40487.t2b	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2925.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g2926.t1	ME7	black
Montipora_capitata_HIv3___RNAseq.g2927.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g2929.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2930.t1	ME12	tan
Montipora_capitata_HIv3___RNAseq.g2931.t1	ME20	royalblue
Montipora_capitata_HIv3___TS.g40497.t1c	ME25	orange
Montipora_capitata_HIv3___TS.g40497.t1b	ME3	brown
Montipora_capitata_HIv3___TS.g40497.t1a	ME4	yellow
Montipora_capitata_HIv3___TS.g40498.t2	ME25	orange
Montipora_capitata_HIv3___RNAseq.g2935.t1	ME25	orange
Montipora_capitata_HIv3___TS.g40500.t2	ME16	lightcyan
Montipora_capitata_HIv3___RNAseq.g2937.t1	ME0	grey
Montipora_capitata_HIv3___TS.g40502.t2	ME2	blue
Montipora_capitata_HIv3___TS.g40504.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2940.t1	ME12	tan
Montipora_capitata_HIv3___TS.g40509.t1	ME12	tan
Montipora_capitata_HIv3___RNAseq.g2945.t1	ME3	brown
Montipora_capitata_HIv3___TS.g40516.t1	ME2	blue
Montipora_capitata_HIv3___TS.g40517.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g2948.t1	ME6	red
Montipora_capitata_HIv3___TS.g40519.t3	ME7	black
Montipora_capitata_HIv3___RNAseq.g2950.t1	ME31	paleturquoise
Montipora_capitata_HIv3___TS.g40521.t1	ME8	pink
Montipora_capitata_HIv3___TS.g40522.t2	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2955.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g2956.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g2958.t1	ME9	magenta
Montipora_capitata_HIv3___RNAseq.g2960.t1	ME8	pink
