"module","treatment_time","correlation","pvalue","label"
"ME0","72hr-Heat",-0.0238818760096673,0.883705540622047,""
"ME0","120hr-Heat",0.268523100120942,0.0938628148070084,""
"ME7","0hr-Control",0.138499510180566,0.394053204350738,""
"ME7","1hr-Control",0.171918991532601,0.288801055722833,""
"ME7","3hr-Control",0.0416441279525671,0.798615426648033,""
"ME7","12hr-Control",0.0480563277256705,0.768400860589396,""
"ME7","24hr-Control",-0.10892935882597,0.503445025177062,""
"ME7","72hr-Control",0.0965155904803517,0.553550853165932,""
"ME7","120hr-Control",-0.330214408809002,0.0374331416393377,"-0.33"
"ME7","0hr-Heat",0.125201970428369,0.441434139024677,""
"ME7","1hr-Heat",0.163107336640344,0.31459610744464,""
"ME7","3hr-Heat",-0.430421049026387,0.00556579626921423,"-0.43"
"ME7","12hr-Heat",-0.007695574762432,0.962410915251724,""
"ME7","24hr-Heat",-0.221599501154358,0.169369803453031,""
"ME7","72hr-Heat",0.147560777907798,0.363534488771145,""
"ME7","120hr-Heat",0.226449537286262,0.159989456457924,""
"ME21","0hr-Control",0.175735585501483,0.278066047365549,""
"ME21","1hr-Control",0.177066937734441,0.27438349572052,""
"ME21","3hr-Control",0.035322483389304,0.82868966082872,""
"ME21","12hr-Control",0.0784967694137124,0.630190613109808,""
"ME21","24hr-Control",-0.0622437258706644,0.702794322029791,""
"ME21","72hr-Control",0.196245258136164,0.224881180683092,""
"ME21","120hr-Control",-0.148454967503739,0.360601890732101,""
"ME21","0hr-Heat",0.0983912414370938,0.545832432606704,""
"ME21","1hr-Heat",0.198712566340311,0.218989518325204,""
"ME21","3hr-Heat",0.117034051124729,0.472021269949844,""
"ME21","12hr-Heat",0.0105745832300857,0.948364672560204,""
"ME21","24hr-Heat",-0.437056624162684,0.00480396394525595,"-0.44"
"ME21","72hr-Heat",-0.0578529012704036,0.722897812077378,""
"ME21","120hr-Heat",-0.405531910646822,0.00942926702689604,"-0.41"
"ME8","0hr-Control",0.161118703679696,0.320612524911058,""
"ME8","1hr-Control",-0.0288999533987638,0.859492472504496,""
"ME8","3hr-Control",0.162584149207267,0.316172008807456,""
"ME8","12hr-Control",0.245702646672673,0.126458296224984,""
"ME8","24hr-Control",0.140441423008958,0.387390611668174,""
"ME8","72hr-Control",0.227467923064463,0.158068686529497,""
"ME8","120hr-Control",0.0844218991845846,0.604509754996819,""
"ME8","0hr-Heat",0.143131761217521,0.378269986115546,""
"ME8","1hr-Heat",0.154896288050695,0.33990035545802,""
"ME8","3hr-Heat",-0.0131970170172739,0.935583502434077,""
"ME8","12hr-Heat",-0.261302137433285,0.10338678797268,""
"ME8","24hr-Heat",-0.351838582984334,0.0259884065386697,"-0.35"
"ME8","72hr-Heat",-0.240054171832761,0.1356973633114,""
