"sample","ME25","ME5","ME10","ME9","ME26","ME23","ME12","ME22","ME27","ME7","ME21","ME8","ME3","ME29","ME6","ME17","ME31","ME4","ME11","ME15","ME1","ME16","ME18","ME19","ME20","ME2","ME30","ME28","ME13","ME14","ME24","ME0"
"MON_R72_C1",-0.0837591765729328,0.254726121687269,0.12871051178826,0.0639259260582994,0.266768616214604,0.013389578007676,-0.322501729300186,-0.237055916770851,-0.227586649163316,-0.025549823629985,0.13389175799275,0.0760010249688586,0.15753556619709,0.070625119854104,0.0113847760614019,0.115025441708427,-0.0775902192643124,0.124967579171082,0.191622180356444,-0.0480341584544092,-0.162007619576604,-0.093184323396895,-0.281725034982755,-0.111701483685867,-0.117563746950146,-0.184746484474474,-0.249404981531666,0.250717644303237,0.0201926146851367,0.127008903581329,0.177274232886911,-0.217438149558251
"MON_R72_C2",-0.0307469628520127,0.00981036290584584,-0.0677278855462787,-0.139867999471924,-0.0950198272696246,0.145699548624008,-0.113908051107169,0.207191504729101,0.162870058245812,0.132331867672082,0.0669025299495289,0.096145784927665,0.0873682140552232,0.167283810253174,0.209176752283322,0.144928361581196,0.0155165522076227,0.0970619659282773,0.0566344507345507,-0.152273873363794,-0.0844966070439223,-0.154051935482229,-0.112443893369088,-0.0021487451856822,-0.0205334589294452,-0.0565299519667525,-0.105895353358814,0.107363674687137,-0.0968244566471328,0.0331012060349021,0.018594646804531,-0.0270708138622106
"MON_R72_C3",0.00956636589523687,-0.0141634445816369,0.0706831391150589,-0.00725808028784951,0.0396308975515393,0.0783547402775837,0.185908184151753,0.222754250612539,0.282603196993605,0.0539968236489476,0.126117563664664,0.206776791195501,0.116127685006039,0.0843261527685882,0.170518294622229,0.0431543242361834,0.141862492490402,0.17602288651585,0.193391809878341,-0.0708589337527338,-0.117228421567644,-0.140190988116299,-0.176433598756802,-0.0420722423092244,-0.0946935613155609,-0.15047303857824,-0.120414214997084,-0.0442274122130204,-0.232654565987587,-0.252254913727048,-0.207464641913064,0.249604785817471
"MON_R72_H3",-0.207122430187858,-0.0495759757976966,-0.190379204974876,-0.250873338065495,-0.221948260757387,-0.0547429451963531,0.100359901895183,-0.00782893337458207,-0.00813609721408716,0.145704593604099,-0.0571251628511289,-0.237034502296511,-0.150716779994612,-0.181514358372411,-0.0112736195933326,-0.0269070041113305,-0.0728987694485291,-0.128514719798608,-0.105704594378697,0.0628319535130669,0.119297409953142,-0.132161448818864,-0.109107464438467,0.140078940265811,0.149041825874961,0.173543373060529,0.242936704769386,-0.0425222311578861,0.125061060479819,0.0595642305805254,0.0794692268969047,-0.0235814630949311
"MON_R120_C1",-0.00842202045340347,0.217874151916797,0.239680960233899,-0.0733400944282321,0.063176572026622,0.150288277747831,-0.292523240122893,-0.208914816409928,-0.103312984578968,-0.168546818818928,-0.090962919933672,0.0663747145403629,0.13999458433272,0.0855446690592155,0.0253702005455939,0.0858676778818359,-0.0658773906974253,0.156393154359804,0.220377023524843,0.158667524315578,-0.0919675432131906,-0.00244776769542325,-0.149273772927027,-0.259149090401998,-0.0984368934755575,-0.154513886403433,-0.208491491973006,0.175210062393934,0.0337715381119789,0.149721379531955,0.196525046695888,-0.217026531260804
"MON_R120_C2",0.0947759434385648,0.278705181240326,0.285277640013061,-0.0465574674397801,0.186849455729347,0.231043409381342,0.0113591263390524,-0.0840278527007664,-0.0835422533023165,-0.124122862764406,-0.0775519201939393,-0.0629818038730775,0.14742553383762,0.0757944695312644,-0.0245610243822372,0.0961904393201819,-0.155194948554736,-0.152564667695599,-0.103965082806478,0.196598959206941,-0.109719815001618,-0.00141985270389147,-0.16758696487471,-0.235664490796164,-0.201445428364984,0.157326415396946,0.036494337704548,0.0125297557490778,0.0460665201742787,0.0675024767120711,0.115995445700849,-0.0199973557874023
"MON_R120_C3",0.0755741890656605,0.212340061779205,0.0997572520126274,0.0913488000165617,0.330481915730518,-0.0489030651679374,0.0577002950796256,-0.00229520501784706,0.139133585896896,-0.257412418928574,-0.0787863622954422,0.137239885461007,0.147354949258018,0.0335718735373645,-0.0600721830677587,-0.0411268052834091,-0.108614653864419,-0.127843023578811,-0.0763547494353991,-0.00925957200314814,-0.083831460207621,0.0545714322654944,-0.2640712023071,-0.299445832011049,-0.176089527902115,0.185125727201477,0.0377245519186862,0.134397744183822,0.0567810594807204,0.0977219942533681,0.148102015243078,-0.0273387638911186
"MON_R120_H1",-0.271568306678911,-0.38148772412502,-0.262982546287352,-0.342262753566956,-0.356808539463772,0.109667503013916,0.220642240900264,0.220126072231953,0.24282016518464,0.203548070666991,-0.157507843458159,-0.199294280237318,-0.210979831199963,0.114008823849522,0.153124983832492,0.110969865324361,0.294087398365067,0.179857871464588,0.181122015503986,0.0369713520905567,0.146119352820412,-0.161696241905512,0.0427440283109109,0.217381401488861,0.223034556737921,-0.188712362652495,-0.00233511019433547,-0.131552524316579,-0.218963495109508,-0.285166866401662,-0.242057724693984,0.252889220875662
"MON_R120_H2",-0.186501889693975,-0.0503709148531182,-0.234821763577296,-0.310956722567861,-0.203796089384111,-0.174689267813817,0.0432707806097321,-0.0524542253060624,-0.0436958902172607,-0.0712080063465118,-0.388018738806336,-0.347220702205185,-0.202176607240683,-0.1738797429976,-0.0939044003454165,0.0178295139064495,-0.0461223634798392,-0.143172138625325,-0.100653078923313,0.291201595244993,0.208295921287487,0.0913946809991681,0.132907075268682,-0.0146540822348273,0.244167297307651,0.106374129523971,0.270124460876312,0.00302048073156421,0.144376586759474,-0.000387346490684972,0.0559898103043057,-0.0373122004118348
"MON_R120_H3",-0.258534126370663,-0.321506560330057,-0.258093213938845,-0.38487121762922,-0.363558434843228,0.155025436283322,0.174032562240377,0.178042647161881,0.188826670671425,0.244887076008296,-0.130021907693252,-0.323441776249532,-0.220698409552478,0.229260921517236,0.13493403059565,0.232625183764393,0.271950690303484,0.154573097670254,0.160471199731047,0.196172256351406,0.158788952663172,-0.155876427348264,-0.0205106207091309,0.258760222985645,0.130875248589695,-0.187226076374938,0.0298132649707828,-0.155316931122931,-0.223741923901312,-0.27061895540205,-0.234555215475563,0.231737654517341
