task,species,t_hours,treatment,day,time,type,Tank,fragment_name,preservative,Plug #,Sampled?,Notes
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,phys,Tank_1,MON_P24_C1,LN2,2566,Yes,
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_1,MON_R24_C1,DNA/RNA shield,2667,Yes,
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,LCM,Tank_1,MON_R24_C1,PAXgene,2667,Yes,
sampling,MON,24,control,"Thu, Jul 3",9:00 AM,spatial,Tank_1,MON_S24_C1,Formalin,2013,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,phys,Tank_2,MON_P24_H1,LN2,1601,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,bulk_rna,Tank_2,MON_R24_H1,DNA/RNA shield,2529,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,LCM,Tank_2,MON_R24_H1,PAXgene,2529,Yes,
sampling,MON,24,heat,"Thu, Jul 3",9:00 AM,spatial,Tank_2,MON_S24_H1,Formalin,1312,Yes,Time: 9:47
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,phys,Tank_4,MON_P72_C2,LN2,1541,Yes,Time: 9:37
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_4,MON_R72_C2,DNA/RNA shield,1646,Yes,
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,LCM,Tank_4,MON_R72_C2,PAXgene,1646,Yes,
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,spatial,Tank_4,MON_S72_C2,Formalin,2202,Yes,recorded incorrectly as 2203
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,phys,Tank_3,MON_P72_H2,LN2,2086,Yes,"polyps pigmented, but rest of tissue is bleached or sloughing off. possibly dead"
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_3,MON_R72_H2,DNA/RNA shield,2068,Yes,very bleached
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,LCM,Tank_3,MON_R72_H2,PAXgene,2068,Yes,very bleached
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,spatial,Tank_3,MON_S72_H2,Formalin,2002,Yes,looks very dead
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,phys,Tank_6,MON_P72_C3,LN2,1731,Yes,
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_6,MON_R72_C3,DNA/RNA shield,1724,Yes,
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,LCM,Tank_6,MON_R72_C3,PAXgene,1724,Yes,
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,spatial,Tank_6,MON_S72_C3,Formalin,1188,Yes,
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,phys,Tank_1,MON_P72_C1,LN2,1589,Yes,Time:
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_1,MON_R72_C1,DNA/RNA shield,1687,Yes,
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,LCM,Tank_1,MON_R72_C1,PAXgene,1687,Yes,
sampling,MON,72,control,"Sat, Jul 5",9:00 AM,spatial,Tank_1,MON_S72_C1,Formalin,2523,Yes,
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,phys,Tank_2,MON_P72_H1,LN2,1039,Yes,"tissue sloughing off, parts still alive"
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_2,MON_R72_H1,DNA/RNA shield,2182,Yes,bleached
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,LCM,Tank_2,MON_R72_H1,PAXgene,2182,Yes,bleached
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,spatial,Tank_2,MON_S72_H1,Formalin,1324,Yes,
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,phys,Tank_5,MON_P72_H3,LN2,1314,Yes,a couple areas of tissue loss
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_5,MON_R72_H3,DNA/RNA shield,1596,Yes,
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,LCM,Tank_5,MON_R72_H3,PAXgene,1596,Yes,
sampling,MON,72,heat,"Sat, Jul 5",9:00 AM,spatial,Tank_5,MON_S72_H3,Formalin,2018,Yes,Time: 10:01
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys,Tank_5,MON_P120_H3,LN2,1549,Yes,Time: 9:50
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_5,MON_R120_H3,DNA/RNA shield,1636,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,LCM,Tank_5,MON_R120_H3,PAXgene,1636,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,spatial,Tank_5,MON_S120_H3,Formalin,1272,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys,Tank_3,MON_P120_H2,LN2,1458,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_3,MON_R120_H2,DNA/RNA shield,2512,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,LCM,Tank_3,MON_R120_H2,PAXgene,2512,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,spatial,Tank_3,MON_S120_H2,Formalin,1770,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,phys,Tank_4,MON_P120_C2,LN2,2852,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_4,MON_R120_C2,DNA/RNA shield,1182,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,LCM,Tank_4,MON_R120_C2,PAXgene,1182,Yes,
sampling,MON,120,control,"Mon, Jul 7",9:00 AM,spatial,Tank_4,MON_S120_C2,Formalin,1561,Yes,
sampling,MON,120,heat,"Mon, Jul 7",9:00 AM,phys,Tank_2,MON_P120_H1,LN2,2084,Yes,Time: 10:01
