Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MON_R1_C3	22406370.0	277.0	15331869.0	68.43	278.36	13807812.0	12780160.0	13581794.0	110923.0	7736.0	107359.0	0.58	0.04	2.84	0.04	2.41	1487154.0	6.64	347190.0	1.55	0.0	23.19	0.2	0	5195350	44807
MON_R1_H1	15133391.0	277.0	10389301.0	68.65	278.54	9195649.0	8520967.0	9049111.0	75962.0	5108.0	65468.0	0.58	0.04	2.8	0.03	2.39	936104.0	6.19	274283.0	1.81	0.0	23.22	0.13	0	3514029	19674
MON_R1_H2	16676138.0	277.0	12025197.0	72.11	278.09	10424565.0	9553487.0	10239592.0	87766.0	6960.0	90247.0	0.6	0.05	2.86	0.04	2.48	1164769.0	6.98	209642.0	1.26	0.0	19.52	0.13	0	3254853	21677
MON_R1_H3	16190302.0	276.0	12135710.0	74.96	277.53	11049648.0	10167974.0	10864311.0	89017.0	7255.0	89065.0	0.61	0.05	2.83	0.04	2.46	1217688.0	7.52	248461.0	1.53	0.0	15.88	0.11	0	2570636	17807
MON_R24_C1	16411293.0	277.0	12217961.0	74.45	278.12	11209954.0	10341491.0	11029679.0	89235.0	6311.0	84729.0	0.59	0.04	2.85	0.04	2.46	1260024.0	7.68	448275.0	2.73	0.0	15.02	0.12	0	2465337	19696
MON_R24_C2	18340435.0	276.0	13392481.0	73.02	278.13	12065639.0	11117625.0	11873270.0	96410.0	6212.0	89747.0	0.59	0.04	2.82	0.04	2.41	1233693.0	6.73	419086.0	2.29	0.0	17.8	0.16	0	3265819	29356
MON_R24_C3	20015554.0	275.0	14601284.0	72.95	277.52	12441061.0	11483015.0	12228313.0	101675.0	7211.0	103862.0	0.61	0.05	2.87	0.04	2.45	1438309.0	7.19	472608.0	2.36	0.0	17.34	0.16	0	3471322	32031
MON_R24_H1	18542272.0	277.0	14533075.0	78.38	278.48	12123059.0	11300967.0	11919032.0	95818.0	7170.0	101039.0	0.58	0.05	2.86	0.04	2.45	1346954.0	7.26	352939.0	1.9	0.0	12.31	0.14	0	2283336	25968
MON_R24_H2	15431326.0	277.0	11948199.0	77.43	278.34	10241641.0	9531353.0	10068540.0	82628.0	6068.0	84405.0	0.59	0.04	2.78	0.04	2.44	1103755.0	7.15	302983.0	1.96	0.0	13.32	0.14	0	2054792	21597
MON_R24_H3	18939741.0	278.0	14097977.0	74.44	278.6	11268567.0	10403771.0	11086451.0	89546.0	6286.0	86284.0	0.59	0.05	2.8	0.04	2.43	1270503.0	6.71	510745.0	2.7	0.0	16.09	0.07	0	3047259	13257
MON_R3_C1	16862764.0	277.0	13312204.0	78.94	278.31	12007800.0	11177480.0	11810834.0	106030.0	6644.0	84292.0	0.59	0.04	2.87	0.04	2.47	1217722.0	7.22	332580.0	1.97	0.0	11.66	0.2	0	1966527	33731
MON_R3_C2	15798960.0	277.0	11719526.0	74.18	278.33	10577049.0	9737885.0	10400735.0	86482.0	6857.0	82975.0	0.58	0.05	2.81	0.04	2.42	1131511.0	7.16	309987.0	1.96	0.0	16.57	0.12	0	2618969	18967
