biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	assembly	fasta_file
SAMN56252365	MON_R0_H2	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R0_H2_S110_R1_001.fastq.gz	MON_R0_H2_S110_R2_001.fastq.gz	run-2-MON_R0_H2_S43_R1_001.fastq.gz	run-2-MON_R0_H2_S43_R2_001.fastq.gz	run-3_MON_R0_H2_S7_R1_001.fastq.gz	run-3_MON_R0_H2_S7_R2_001.fastq.gz		
SAMN56252366	MON_R0_H3	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R0_H3_S27_R1_001.fastq.gz	MON_R0_H3_S27_R2_001.fastq.gz						
SAMN56252367	MON_R1_C1	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R1_C1_S41_R1_001.fastq.gz	MON_R1_C1_S41_R2_001.fastq.gz						
SAMN56252368	MON_R1_C2	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R1_C2_S67_R1_001.fastq.gz	MON_R1_C2_S67_R2_001.fastq.gz						
SAMN56252369	MON_R1_C3	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R1_C3_S24_R1_001.fastq.gz	MON_R1_C3_S24_R2_001.fastq.gz						
SAMN56252370	MON_R1_H1	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R1_H1_S13_R1_001.fastq.gz	MON_R1_H1_S13_R2_001.fastq.gz						
SAMN56252371	MON_R1_H2	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R1_H2_S38_R1_001.fastq.gz	MON_R1_H2_S38_R2_001.fastq.gz						
SAMN56252372	MON_R1_H3	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R1_H3_S101_R1_001.fastq.gz	MON_R1_H3_S101_R2_001.fastq.gz	run-2-MON_R1_H3_S35_R1_001.fastq.gz	run-2-MON_R1_H3_S35_R2_001.fastq.gz				
SAMN56252373	MON_R3_C1	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R3_C1_S76_R1_001.fastq.gz	MON_R3_C1_S76_R2_001.fastq.gz						
SAMN56252374	MON_R3_C2	RNA-seq of Montipora capitata	RNA-Seq	TRANSCRIPTOMIC	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Libraries were prepped using the Watchmaker Genomics mRNA kit	fastq	MON_R3_C2_S99_R1_001.fastq.gz	MON_R3_C2_S99_R2_001.fastq.gz						
