accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description	treatment	timepoint	replicate
SAMN56252369	Successfully loaded	MON_R1_C3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	1 hr	3
SAMN56252370	Successfully loaded	MON_R1_H1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	1 hr	1
SAMN56252371	Successfully loaded	MON_R1_H2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	1 hr	2
SAMN56252372	Successfully loaded	MON_R1_H3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	1 hr	3
SAMN56252373	Successfully loaded	MON_R3_C1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	3 hr	1
SAMN56252374	Successfully loaded	MON_R3_C2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	3 hr	2
SAMN56252375	Successfully loaded	MON_R3_C3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	3 hr	3
SAMN56252376	Successfully loaded	MON_R3_H1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	3 hr	1
SAMN56252377	Successfully loaded	MON_R3_H2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	3 hr	2
SAMN56252378	Successfully loaded	MON_R3_H3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	3 hr	3
SAMN56252379	Successfully loaded	MON_R12_C1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	12 hr	1
SAMN56252380	Successfully loaded	MON_R12_C2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	12 hr	2
SAMN56252381	Successfully loaded	MON_R12_C3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	12 hr	3
SAMN56252382	Successfully loaded	MON_R12_H1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	12 hr	1
SAMN56252383	Successfully loaded	MON_R12_H2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	12 hr	2
SAMN56252384	Successfully loaded	MON_R12_H3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-02	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	12 hr	3
SAMN56252385	Successfully loaded	MON_R24_C1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-03	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	24 hr	1
SAMN56252386	Successfully loaded	MON_R24_C2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-03	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	24 hr	2
SAMN56252387	Successfully loaded	MON_R24_C3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-03	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	24 hr	3
SAMN56252388	Successfully loaded	MON_R24_H1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-03	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	24 hr	1
SAMN56252389	Successfully loaded	MON_R24_H2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-03	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	24 hr	2
SAMN56252390	Successfully loaded	MON_R24_H3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-03	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	24 hr	3
SAMN56252391	Successfully loaded	MON_R72_C1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-05	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	72 hr	1
SAMN56252392	Successfully loaded	MON_R72_C2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-05	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	72 hr	2
SAMN56252393	Successfully loaded	MON_R72_C3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-05	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	72 hr	3
SAMN56252394	Successfully loaded	MON_R72_H1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-05	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	72 hr	1
SAMN56252395	Successfully loaded	MON_R72_H2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-05	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	72 hr	2
SAMN56252396	Successfully loaded	MON_R72_H3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-05	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	72 hr	3
SAMN56252397	Successfully loaded	MON_R120_C1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-07	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	120 hr	1
SAMN56252398	Successfully loaded	MON_R120_C2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-07	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	120 hr	2
SAMN56252399	Successfully loaded	MON_R120_C3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-07	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	120 hr	3
SAMN56252400	Successfully loaded	MON_R120_H1			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-07	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	120 hr	1
SAMN56252401	Successfully loaded	MON_R120_H2			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-07	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	120 hr	2
SAMN56252402	Successfully loaded	MON_R120_H3			Montipora capitata	not applicable	not applicable	not applicable	not applicable	2025-07-07	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	120 hr	3
SAMN56252403	Successfully loaded	POR_R0_C1			Porites compressa	not applicable	not applicable	not applicable	not applicable	2025-06-25	USA: Hawaii, Oahu, Kaneohe Bay	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	0 hr	1
