"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type"
"Montipora_capitata_HIv3___TS.g26307.t1b",0.200899935478279,0.413211987053519,-214.658046531414,-218.296117502442,17,12,159.732256669465,0,0,0,0,0.00604521846509088,0.0296825356390534,0.0215916159935265,0.0906221416695801,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26307.t1a",0.0294860541873361,0.106742037831555,-293.480966629806,-299.690052658769,17,12,1599.79068117746,0,0,0,0,0.0202544918313088,0.0738443480809707,0.000142548405027447,0.00121264884333358,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4623.t1",0.64959905132644,0.846247818130547,-178.353360669773,-180.017225442315,17,12,35.2934689421601,0,0,0,0,0.488846263397867,0.634852398436636,0.50913321661863,0.929175068529021,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26309.t1b",0.888305633271309,0.983776664562568,-152.762633538894,-153.614989382297,17,12,14.8946742915792,0,0,0,0,0.211078748609919,0.377707312930352,0.25283058742459,0.599386979594901,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26309.t1a",0.745743958786844,0.909830371328754,-137.500767060705,-138.851991199749,17,12,7.75410946037003,0,0,0,0,0.694217749487173,0.787703366178428,0.918452476408838,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4625.t1",0.166017475536456,0.363876735243037,-273.433115728549,-277.346734227829,17,12,677.247507441858,0,0,0,0,0.000488968850381957,0.00411771165383227,0.823952849044534,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4626.t1",3.77712155643573e-08,1.44042852359436e-06,-273.331557304024,-294.808028255345,17,12,952.452826522609,0,0,0,0,0.0354366494903529,0.111241872354223,6.0105374396438e-08,1.14680444528499e-06,FALSE,TRUE,FALSE,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.g4627.t1",0.000231368335294694,0.00230136920353125,-284.414719595568,-296.342832518066,17,12,1624.41732007551,0,0,0,0,2.76445000200096e-09,1.52064965466557e-07,0.120680076870286,0.350361137876306,TRUE,FALSE,FALSE,"Transient"
"Montipora_capitata_HIv3___TS.g26313.t3",0.275165791143085,0.507506650098337,-250.185866063693,-253.352285849787,17,12,727.683455913343,0,0,0,0,0.270140714778876,0.440938698436672,0.095457068693672,0.294193151687381,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4629.t1",0.0100936927460216,0.0468109002828365,-260.855530408482,-268.387368943448,17,12,658.549233303345,0,0,0,0,0.000659874762584606,0.00515178301281998,0.000672624385656346,0.00477437960368337,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26315.t1",0.492813327656783,0.724266063586059,-118.960790638967,-121.162850948183,17,12,13.7491662712203,0,0,0,0,0.131094022586635,0.277273165022442,0.987760422894392,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4631.t1",0.486214982239522,0.718718500044328,-212.360871359059,-214.587302446087,17,12,138.533555981384,0,0,0,0,0.458882632800445,0.609352554761136,0.697128731709384,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4632.t1",0.0158637268820043,0.0664518555133828,-111.039931811482,-118.02006981097,17,12,10.7119852299128,0,0,0,0,0.00125598705677123,0.00860068150914644,0.202092209238853,0.511112866393215,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4633.t1",0.924220749053653,0.999169233913314,-263.711464609747,-264.411887418142,17,12,411.431533294016,0,0,0,0,0.425009513384989,0.581409922629731,0.0775224757018002,0.249797016614451,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4634.t1",0.940056217401504,1,-244.311527774864,-244.936202713482,17,12,385.885536846351,0,0,0,0,0.365850930875441,0.530303385765427,0.752320427004449,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4635.t1",0.182726879502553,0.387542755857638,-305.131941960081,-308.907852277184,17,12,1939.98660117019,0,0,0,0,0.451125067621494,0.60322843724846,0.000213123473033547,0.00172106070319549,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26322.t1",0.782012009901832,0.930295313562496,-216.440394940277,-217.672044025222,17,12,246.429051501609,0,0,0,0,0.787251086212041,0.853957539662638,0.733036739845102,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4637.t1",0.905196323438678,0.991272555554878,-216.784792774937,-217.568354076169,17,12,254.099444147203,0,0,0,0,0.374822639615121,0.538039735253093,0.315092834273084,0.696815293159981,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4638.t1",0.00955034544447131,0.0448624432724819,-246.002628895113,-253.601456504275,17,12,866.856269891063,0,0,0,0,0.00580269113430841,0.0288019091950191,0.00274820352320559,0.0160939462455689,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4639.t1",0.000906642909237979,0.00702729997322554,-258.431026369535,-268.801450889465,17,12,887.79305458383,0,0,0,0,4.83592377206998e-05,0.000617868833876066,0.0648431480892131,0.217340479320077,TRUE,FALSE,FALSE,"Transient"
"Montipora_capitata_HIv3___RNAseq.g4640.t1",0.000299504872557082,0.00283657604984892,-243.595752995252,-255.231540740455,17,12,619.736052873301,0,0,0,0,9.57847755324397e-10,5.89379981798687e-08,0.0104435303501939,0.0498628030318919,TRUE,FALSE,FALSE,"Transient"
"Montipora_capitata_HIv3___RNAseq.g4641.t1",0.000852994558735496,0.0066905500803533,-230.978813971428,-241.419431377167,17,12,469.394265316621,0,0,0,0,0.17276597351678,0.33188891032596,9.78790161527545e-05,0.000871841834523454,FALSE,TRUE,FALSE,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.g4642.t1",6.85752446435048e-06,0.000122183451409385,-276.761463753851,-292.604113700832,17,12,1519.44284422596,0,0,0,0,2.62793103122331e-10,1.90534498309586e-08,0.991242687889856,1,TRUE,FALSE,FALSE,"Transient"
"Montipora_capitata_HIv3___RNAseq.g4643.t1",0.00315352693000972,0.0188979230824661,-235.47371815474,-244.393805147359,17,12,603.464075427165,0,0,0,0,0.000122555120708058,0.00132552271584851,2.21430902237453e-05,0.000230461238928493,FALSE,TRUE,FALSE,"Monotonous"
"Montipora_capitata_HIv3___TS.g26329.t1",0.901082235356309,0.989369676094157,-241.85744565795,-242.658136384032,17,12,819.214428056943,0,0,0,0,0.802887195940153,0.865198511519349,0.12171506322783,0.352481668668159,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4645.t1",0.989999976170085,1,-264.835241971365,-265.112391296181,17,12,1925.74240640852,0,0,0,0,0.400801582597874,0.560786738841545,0.98713573159892,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___TS.g26331.t1",0.255135415109951,0.482663911049564,-278.429765665528,-281.711773677909,17,12,1420.40577903281,0,0,0,0,0.1039134413348,0.23722697544179,0.00137625612201291,0.00887235506484065,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4647.t1",8.36887973825836e-06,0.0001441949803914,-228.727649918649,-244.351551090613,17,12,493.370144725795,0,0,0,0,2.44298750142568e-05,0.000348209620702971,7.93179018452548e-06,9.2004485297682e-05,TRUE,FALSE,FALSE,"Transient"
"Montipora_capitata_HIv3___RNAseq.g4648.t1",2.95983890598372e-09,1.56793297257296e-07,-209.476938531666,-233.670874967069,17,12,201.062043042915,0,0,0,0,3.46991708417551e-10,2.40567592501744e-08,1.39046938847037e-06,1.93693673285579e-05,TRUE,FALSE,FALSE,"Transient"
"Montipora_capitata_HIv3___RNAseq.g4649.t1",0.327391855359374,0.565753132087538,-282.192801396778,-285.086826802081,17,12,1802.90867472814,0,0,0,0,0.000661065245082384,0.00515973856271954,0.389815491760628,0.796806186345943,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4650.t1",0.0530439806333709,0.163311197511255,-415.647939399135,-421.106603605875,17,12,29839.7125717014,0,0,0,0,1,1,0.0157792005900293,0.069954378451951,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4651.t1",0.115439333182373,0.283593574144712,-234.111295006723,-238.533429171346,17,12,543.766829471954,0,0,0,0,0.178226283299339,0.338914911091058,0.970107841494422,1,FALSE,FALSE,FALSE,"Other"
