"gene_id","module","color"
"Porites_compressa_HIv1___RNAseq.g25414.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25415.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25416.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25417.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25418.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25421.t3","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25422.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25426.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25427.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25428.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25430.t1","ME4","yellow"
"Porites_compressa_HIv1___TS.g18246.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25432.t1","ME7","black"
"Porites_compressa_HIv1___RNAseq.g25433.t1","ME4","yellow"
"Porites_compressa_HIv1___RNAseq.g25434.t1","ME15","midnightblue"
"Porites_compressa_HIv1___RNAseq.g25436.t1","ME6","red"
"Porites_compressa_HIv1___RNAseq.g25437.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g25438.t1","ME4","yellow"
"Porites_compressa_HIv1___RNAseq.g25440.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g25441.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g25442.t1","ME16","lightcyan"
"Porites_compressa_HIv1___TS.g18258.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25444.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25445.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25446.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g18262.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25448.t2","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25449.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25450.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25451.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25452.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25453.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25454.t1","ME10","purple"
"Porites_compressa_HIv1___RNAseq.g25455.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25459.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g18274.t1a","ME4","yellow"
"Porites_compressa_HIv1___TS.g18274.t1c","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25462.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25463.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g25464.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25465.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25467.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25468.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25469.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g25470.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25471.t1","ME5","green"
"Porites_compressa_HIv1___RNAseq.g25472.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.20441_t","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25474.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g25475.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25476.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25477.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25478.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25479.t2","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25480.t1","ME3","brown"
"Porites_compressa_HIv1___TS.g18295.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25482.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25483.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25484.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25485.t1","ME4","yellow"
"Porites_compressa_HIv1___TS.g18299.t2","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25488.t2","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25489.t1c","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25489.t1b","ME4","yellow"
"Porites_compressa_HIv1___RNAseq.g25489.t1a","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25490.t1","ME5","green"
"Porites_compressa_HIv1___TS.g18304.t1","ME4","yellow"
"Porites_compressa_HIv1___RNAseq.g25492.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25493.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g25497.t1","ME12","tan"
"Porites_compressa_HIv1___RNAseq.g25498.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g25500.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25501.t1","ME4","yellow"
"Porites_compressa_HIv1___RNAseq.g25502.t1","ME6","red"
"Porites_compressa_HIv1___RNAseq.g25503.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25504.t1","ME6","red"
"Porites_compressa_HIv1___RNAseq.g25505.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25506.t2","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25507.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25508.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25509.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25510.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g25511.t1","ME2","blue"
"Porites_compressa_HIv1___TS.g18328.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25513.t1","ME5","green"
"Porites_compressa_HIv1___RNAseq.g25514.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g18331.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25516.t1","ME7","black"
"Porites_compressa_HIv1___RNAseq.g25518.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25520.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25524.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25525.t1","ME13","salmon"
"Porites_compressa_HIv1___RNAseq.g25526.t1","ME14","cyan"
"Porites_compressa_HIv1___RNAseq.g25527.t1","ME21","darkred"
"Porites_compressa_HIv1___RNAseq.g25529.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25530.t1","ME6","red"
"Porites_compressa_HIv1___RNAseq.g25531.t1","ME6","red"
"Porites_compressa_HIv1___RNAseq.g25533.t1","ME8","pink"
"Porites_compressa_HIv1___RNAseq.g25534.t1","ME7","black"
"Porites_compressa_HIv1___RNAseq.g25536.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25537.t1","ME9","magenta"
"Porites_compressa_HIv1___RNAseq.g25540.t1","ME21","darkred"
"Porites_compressa_HIv1___TS.g18357.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25544.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25545.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25546.t1","ME2","blue"
"Porites_compressa_HIv1___TS.g18361.t1","ME8","pink"
"Porites_compressa_HIv1___RNAseq.g25549.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25550.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25552.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g30846.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g36237.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g30857.t1","ME13","salmon"
"Porites_compressa_HIv1___TS.g36201.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g30849.t1b","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g30849.t1a","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g30850.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g30851.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g36207.t1","ME19","lightyellow"
"Porites_compressa_HIv1___TS.g36209.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g30855.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g36211.t3","ME11","greenyellow"
"Porites_compressa_HIv1___RNAseq.g30858.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g30859.t1a","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g30860.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g36216.t1","ME4","yellow"
"Porites_compressa_HIv1___RNAseq.g30862.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g30863.t1","ME8","pink"
"Porites_compressa_HIv1___RNAseq.g30864.t1b","ME8","pink"
"Porites_compressa_HIv1___RNAseq.g30865.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g36223.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g36226.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g30872.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g36231.t1","ME2","blue"
"Porites_compressa_HIv1___TS.g36235.t1","ME2","blue"
"Porites_compressa_HIv1___RNAseq.g30881.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g31037.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25586.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g18408.t2b","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25601.t1","ME6","red"
"Porites_compressa_HIv1___RNAseq.g25614.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25634.t1b","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25696.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g18399.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25588.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g18401.t3","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25590.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25591.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25592.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25593.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25594.t2","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25597.t1","ME6","red"
"Porites_compressa_HIv1___RNAseq.g25599.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25603.t1","ME5","green"
"Porites_compressa_HIv1___RNAseq.g25604.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25605.t1","ME1","turquoise"
"Porites_compressa_HIv1___TS.g18416.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g18417.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25608.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g18419.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25610.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25611.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.20578_t","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25616.t1","ME13","salmon"
"Porites_compressa_HIv1___RNAseq.g25617.t1","ME13","salmon"
"Porites_compressa_HIv1___RNAseq.g25618.t1","ME0","grey"
"Porites_compressa_HIv1___TS.g18429.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25620.t2","ME4","yellow"
"Porites_compressa_HIv1___RNAseq.g25621.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25622.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25623.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25624.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25626.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25628.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25629.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25630.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25631.t1","ME19","lightyellow"
"Porites_compressa_HIv1___RNAseq.g25632.t1","ME3","brown"
"Porites_compressa_HIv1___RNAseq.g25633.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25634.t1a","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25635.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25636.t1","ME1","turquoise"
"Porites_compressa_HIv1___RNAseq.g25637.t1","ME0","grey"
"Porites_compressa_HIv1___RNAseq.g25638.t1","ME21","darkred"
