Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MON_R3_C2	15356047.0	277.0	11656093.0	75.91	278.36	10534462.0	9697686.0	10359496.0	86433.0	6844.0	81689.0	0.58	0.05	2.79	0.04	2.4	1059701.0	6.9	54667.0	0.36	0.0	16.71	0.13	0	2565626	19960
MON_R3_C3	18174912.0	275.0	13204705.0	72.65	277.79	12058920.0	11158060.0	11862653.0	96330.0	6393.0	93544.0	0.58	0.04	2.8	0.03	2.39	1158150.0	6.37	54615.0	0.3	0.0	20.52	0.15	0	3730175	27267
MON_R3_H1	18794926.0	275.0	13878038.0	73.84	277.71	11263700.0	10379953.0	11084285.0	90948.0	5735.0	82732.0	0.6	0.04	2.76	0.03	2.35	1306977.0	6.95	56108.0	0.3	0.0	18.74	0.17	0	3521854	31949
MON_R3_H2	32182885.0	268.0	20717991.0	64.38	274.81	17397760.0	15931771.0	17100918.0	130089.0	12211.0	154542.0	0.6	0.04	2.71	0.03	2.38	2071044.0	6.44	108937.0	0.34	0.0	28.69	0.16	0	9233420	51493
MON_R3_H3	14584634.0	277.0	11237890.0	77.05	278.41	9217830.0	8511973.0	9066910.0	74307.0	5101.0	71512.0	0.58	0.04	2.8	0.04	2.42	1100468.0	7.55	67588.0	0.46	0.0	14.77	0.16	0	2155340	23348
MON_R72_C1	18391674.0	274.0	13696041.0	74.47	277.28	11758731.0	10852378.0	11551776.0	106054.0	6795.0	94106.0	0.62	0.05	2.76	0.04	2.37	1142292.0	6.21	52340.0	0.28	0.0	18.93	0.11	0	3480775	20226
MON_R72_C2	15501721.0	275.0	11596385.0	74.81	277.47	10649564.0	9835745.0	10472987.0	87981.0	7019.0	81577.0	0.61	0.05	2.85	0.04	2.41	1036158.0	6.68	62548.0	0.4	0.0	17.98	0.13	0	2786483	20147
MON_R72_C3	22364700.0	275.0	16674340.0	74.56	277.31	15630315.0	14380598.0	15382908.0	126612.0	9552.0	111243.0	0.62	0.04	2.84	0.03	2.47	1504378.0	6.73	106261.0	0.48	0.0	18.11	0.13	0	4050644	29077
MON_R72_H1	14055421.0	277.0	29835.0	0.21	277.47	14165.0	12207.0	13796.0	99.0	11.0	259.0	0.63	0.07	2.75	0.05	2.35	2659.0	0.02	148.0	0.0	0.0	99.75	0.02	0	14019968	2811
MON_R72_H2	14146466.0	272.0	98641.0	0.7	275.02	54577.0	46049.0	53503.0	260.0	48.0	766.0	0.66	0.06	2.71	0.04	2.39	12613.0	0.09	1608.0	0.01	0.0	99.15	0.05	0	14026531	7073
MON_R72_H3	16485774.0	274.0	12189151.0	73.94	277.13	10171247.0	9344950.0	9988448.0	85479.0	6846.0	90474.0	0.62	0.05	2.76	0.04	2.4	1052085.0	6.38	61814.0	0.37	0.0	19.19	0.12	0	3162945	19779
