Gene	p	padj	loglik_full	loglik_red	df_full	df_red	mean	converge_combined	converge_case	converge_control	converge_sigmoid	impulseTOsigmoid_p	impulseTOsigmoid_padj	sigmoidTOconst_p	sigmoidTOconst_padj	isTransient	isMonotonous	allZero
Montipora_capitata_HIv3___RNAseq.g27329.t1b	0.988599200713406	1	-44.4565558137242	-44.7499606304009	17	12	0.249263868494808	0	0	0	0	0.888197396676115	1	0.999963793098448	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g27329.t1a	0.970174984264353	1	-54.2284698942047	-54.6787919840514	17	12	1.41449439389624	0	0	0	0	0.517783927493476	0.928359410980723	0.993566577988222	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g27330.t1	0.991985713072173	1	-46.7272495581261	-46.9791195074242	17	12	0.330826439436811	0	0	0	0	0.999999577031411	1	0.844703516029108	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g27331.t1	0.730049931198224	1	-100.135100431381	-101.53749719374	17	12	3.07954060345487	0	0	0	0	0.405509778769169	0.821230616727261	0.97901402811012	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g27332.t1	2.11889567679158e-08	1.3714690330509e-06	-295.418970122144	-317.514205809119	17	12	1206.53092277855	0	0	0	0	9.29909038146167e-09	6.76442159005765e-07	1.40087992194034e-06	3.05879311044677e-05	FALSE	TRUE	FALSE
Montipora_capitata_HIv3___RNAseq.g29718.t1	0.502800435930389	1	-73.4700266441017	-75.635554956601	17	12	2.19424443275197	0	0	0	0	0.194008535340756	0.535652003513959	0.992418900168455	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g29716.t1	0.31646542483232	0.841960866363113	-81.3971458843889	-84.3451712584025	17	12	3.89980627248279	0	0	0	0	0.14867321533729	0.452298237633143	0.746419802663706	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g29712.t1	0.538108003925726	1	-76.1070810953613	-78.1465492256422	17	12	1.52533562096663	0	0	0	0	0.147466641222824	0.449991170283837	0.977021008642669	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g29713.t1	0.00186448115747744	0.0195892993577317	-187.891919256922	-197.427414185828	17	12	127.447806771313	0	0	0	0	0.00889298993719482	0.0623037461301466	0.683476983337105	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g29714.t1	0.24828436663263	0.726214842521737	-107.151810606423	-110.475067578043	17	12	5.23752236465571	0	0	0	0	0.372994004297325	0.783010281299518	0.998885122673222	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g10893.t1	0.723207109666141	1	-147.303420038015	-148.728065727382	17	12	29.1526012185829	0	0	0	0	0.459391108139525	0.875702170241565	0.654635457279599	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g29717.t1	0.0214361025375553	0.132010245136328	-176.569132861911	-183.177158470961	17	12	102.859312619343	0	0	0	0	0.00665943186480606	0.0499087186373688	0.300101845374966	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g128.t1	0.942953428999449	1	-49.4554426871723	-50.0653958336561	17	12	0.339125854699725	0	0	0	0	0.738534996595824	1	0.997304039196235	1	FALSE	FALSE	FALSE
