"gene_id","module","color","kME_own","kME_20","kME_16","kME_23","kME_2","kME_4","kME_18","kME_7","kME_13","kME_12","kME_17","kME_19","kME_8","kME_22","kME_9","kME_24","kME_1","kME_5","kME_15","kME_11","kME_14","kME_21","kME_10","kME_3","kME_6","kME_0"
"Pocillopora_acuta_HIv2___RNAseq.g29072.t1","ME3","brown",0.88632907397413,0.297185728996268,0.415958485645407,0.259983555824488,0.692772038446854,0.678959811170801,-0.381665745944208,-0.381965068108996,-0.588556770744957,-0.245998613595444,-0.338104899655505,-0.435652522861024,-0.707920854775747,-0.105317989973236,-0.334084221326745,-0.683330791281805,-0.827071280458356,-0.509508643419565,0.300577852972579,0.0850763044975941,0.209802301698751,0.450042222594845,0.514790932938901,0.88632907397413,0.657664463089685,-0.203955055076755
"Pocillopora_acuta_HIv2___RNAseq.g25370.t1","ME3","brown",0.886261263724123,0.151958585771919,0.305958540859908,0.215031692937372,0.533578219812645,0.531434931420171,-0.380883498367762,-0.501574023760586,-0.563500374458165,-0.401395934574158,-0.420431847401691,-0.383835495524182,-0.532344320543576,-0.0209210169927259,-0.262442674827158,-0.609434004677018,-0.715127885852438,-0.305587684792328,0.211866504320374,0.160184814678978,0.349972372460429,0.56105644643234,0.55868447388472,0.886261263724123,0.771948884209936,-0.0540367825318729
"Pocillopora_acuta_HIv2___RNAseq.g15874.t1","ME3","brown",0.8860908535182,0.262890712983254,0.292437716355035,0.181233495611786,0.649749908186216,0.512614248571405,-0.315593707148823,-0.447060643350543,-0.642473791648764,-0.390192584694347,-0.392743834074614,-0.463534380114513,-0.574417803641337,0.0552546463748248,-0.175057126850205,-0.602634049923747,-0.776248837426436,-0.438620685179833,0.311080714781653,0.142908814757745,0.277661780680721,0.523558090128724,0.591072404648285,0.8860908535182,0.574810753311112,-0.0870372434664833
"Pocillopora_acuta_HIv2___TS.g568.t1","ME3","brown",0.885316948859376,0.317267540510061,0.486837682239679,0.40682504518724,0.631492941019679,0.656908809992182,-0.313400817556292,-0.456328001756563,-0.543328770371063,-0.335877452158099,-0.150967716285109,-0.454959381312912,-0.579542572681034,0.00272197715399626,-0.403576769946227,-0.419129779199783,-0.837814976469218,-0.378835042124308,0.247798967938781,0.44722504601186,0.387468916579276,0.655890062239452,0.323478214908218,0.885316948859376,0.649824394794569,-0.161455497639263
"Pocillopora_acuta_HIv2___RNAseq.g10925.t1","ME3","brown",0.88526437898064,0.280007099670738,0.186846254863856,0.0661949233429494,0.559014884182122,0.400045223227165,-0.210856637530505,-0.51314592649989,-0.508999178781861,-0.514234534910488,-0.389082939960484,-0.388392194491625,-0.388390010890029,0.192797594411456,-0.257207207524792,-0.630210704243699,-0.732815124909957,-0.275340075090371,0.356898652188084,0.139447259570572,0.423236900917959,0.697410760839968,0.640047241163451,0.88526437898064,0.567730379662071,-0.031653536966112
"Pocillopora_acuta_HIv2___RNAseq.g18444.t1b","ME3","brown",0.885000723427528,0.168005482588712,0.29054965281174,0.19438714067185,0.561682465091675,0.67602548911351,-0.553247103821768,-0.466784611092076,-0.645323663019386,-0.262645739707105,-0.379758257301601,-0.429916741035942,-0.760764301595665,-0.276092226560126,-0.247404188744509,-0.597160696968176,-0.723148368325974,-0.405231022239137,0.260534980032915,0.0787484328864923,0.23347024804338,0.360725453778888,0.440584258153588,0.885000723427528,0.780363317123922,-0.116249545740451
"Pocillopora_acuta_HIv2___TS.g23497.t1a","ME3","brown",0.884600663100384,0.365336100048887,0.322892254424097,0.14936878570794,0.657939744804941,0.512627822870665,-0.30846233864483,-0.511110095692617,-0.719163425292525,-0.378098089838931,-0.200822369267674,-0.342640528377472,-0.556523607700069,0.0873928182922065,-0.121984526596139,-0.568510337513445,-0.771013248079436,-0.43383466851403,0.0514856928770115,0.238811252081559,0.309030511412871,0.566613408124463,0.524468318247245,0.884600663100384,0.606810487493727,0.0143590035990516
"Pocillopora_acuta_HIv2___RNAseq.g13604.t1","ME3","brown",0.883221992160975,0.410749913248655,0.299110432520016,0.283656521121788,0.477218734476185,0.606841230400219,-0.510684589396352,-0.60915484531269,-0.743597332330028,-0.213487057601781,-0.0753726017472294,-0.0723084031888219,-0.614112478344607,0.00813855145359774,-0.342990529197255,-0.525791118780341,-0.658010795790273,-0.324973594901412,0.252119795931696,0.269158239668045,0.369921381580918,0.47932232166244,0.457173636108004,0.883221992160975,0.637411814450679,0.181600751920178
"Pocillopora_acuta_HIv2___RNAseq.g709.t1","ME3","brown",0.883203642137041,0.0328685902121754,0.174776576732797,0.09476879188694,0.428494491314737,0.338649690334092,-0.324520695190802,-0.609112072680796,-0.52832400162779,-0.619972439899279,-0.420187220875671,-0.444927644293495,-0.354040246554782,0.206418502762119,-0.154686315446983,-0.500349293123719,-0.656901019030856,-0.117530894878205,0.340658166926256,0.294720693262274,0.521589089455168,0.747671261460666,0.609925054513619,0.883203642137041,0.727211858779567,0.0462182056590234
"Pocillopora_acuta_HIv2___RNAseq.g26705.t2","ME3","brown",0.882232171928564,0.152830682293085,0.431511191195607,0.325364313002264,0.585817235443929,0.614240141700737,-0.35435027760089,-0.456715268164173,-0.542875953336324,-0.392008935277033,-0.345119019636249,-0.544763467600257,-0.593305500260119,-0.0929873702365507,-0.279380034269005,-0.474734778513427,-0.797222305773102,-0.364018541078789,0.208355458473297,0.33826252675325,0.344839640389393,0.569671080792711,0.3801318591251,0.882232171928564,0.824866925851129,-0.189570033002008
