gene_id	module	color
Pocillopora_acuta_HIv2___RNAseq.g11260.t2	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11261.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11262.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11263.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11264.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11265.t1	ME7	black
Pocillopora_acuta_HIv2___RNAseq.g11266.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11268.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11269.t1	ME13	salmon
Pocillopora_acuta_HIv2___RNAseq.2393_t	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11272.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11273.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11275.t1	ME11	greenyellow
Pocillopora_acuta_HIv2___TS.g29447.t1a	ME11	greenyellow
Pocillopora_acuta_HIv2___TS.g29447.t1b	ME11	greenyellow
Pocillopora_acuta_HIv2___TS.g29448.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g29449.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.2402_t	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11281.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11282.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11283.t1	ME4	yellow
Pocillopora_acuta_HIv2___RNAseq.g11284.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11285.t1	ME1	turquoise
Pocillopora_acuta_HIv2___RNAseq.g11286.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11287.t1	ME15	midnightblue
Pocillopora_acuta_HIv2___RNAseq.g11288.t1	ME3	brown
Pocillopora_acuta_HIv2___TS.g29462.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11289.t1	ME9	magenta
Pocillopora_acuta_HIv2___RNAseq.g11290.t1	ME1	turquoise
Pocillopora_acuta_HIv2___TS.g29465.t2	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11292.t1	ME17	grey60
Pocillopora_acuta_HIv2___RNAseq.g11294.t1	ME0	grey
Pocillopora_acuta_HIv2___TS.g29469.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11296.t1	ME6	red
Pocillopora_acuta_HIv2___TS.g29474.t1	ME0	grey
Pocillopora_acuta_HIv2___RNAseq.g11301.t1	ME6	red
Pocillopora_acuta_HIv2___RNAseq.g11307.t2	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11308.t1	ME5	green
Pocillopora_acuta_HIv2___RNAseq.g11309.t1	ME3	brown
Pocillopora_acuta_HIv2___RNAseq.g11310.t1	ME2	blue
Pocillopora_acuta_HIv2___RNAseq.g11311.t1	ME24	darkgrey
Pocillopora_acuta_HIv2___TS.g29485.t1	ME24	darkgrey
Pocillopora_acuta_HIv2___RNAseq.g11312.t1	ME10	purple
