"sample","ME20","ME16","ME23","ME2","ME4","ME18","ME7","ME13","ME12","ME17","ME19","ME8","ME22","ME9","ME24","ME1","ME5","ME15","ME11","ME14","ME21","ME10","ME3","ME6","ME0"
"POC_R3_C2",0.149563734607862,0.0491372511220918,-0.018910516220944,0.0227203748642002,0.152916156917879,-0.0877191200010218,-0.106392036801382,-0.0349925067374511,0.0329522746810577,-0.0914921292162313,0.0914205818442694,-0.127430624419766,-0.0191404454320316,-0.202005087864586,-0.231818331237674,-0.104718022910397,0.0190577689414713,0.0107187624025375,-0.119992572783621,0.176139467972134,0.107388794280639,0.1089427239943,0.159227669808973,0.15839024270368,-0.0353120274041388
"POC_R3_C3",0.0624375855819849,0.137003229092255,-0.0213468164716991,0.0841203571468879,-0.00751263410380507,0.162348347092063,0.0219353475655271,0.07865862118652,-0.0816810510493832,0.0615181469058174,-0.0348741061395823,0.0897281183320955,0.143851806028545,-0.131006300231637,0.0384444165978698,-0.117175998355825,-0.00298899656521213,0.00718605675225299,0.136362692789468,0.107735459995713,0.180105679041943,-0.0126393338160115,0.0505198319804056,-0.0690504951031342,-0.0944275066777848
"POC_R3_H1",-0.268439583413903,-0.294420054742446,-0.243864657151167,-0.338392347909644,-0.317181752764616,-0.197312266625902,-0.380500263482259,-0.208070078310616,-0.313096692766542,-0.0195071956554991,0.0773073226427219,0.174831363981413,0.18364298254719,0.365125436593938,0.257753896714821,0.244507216892919,0.355075416702496,0.118483667081262,0.203514417454165,0.289125395221441,0.115367677630641,0.0199218542103846,0.00844925658909478,0.119334182120862,0.445997717677937
"POC_R3_H2",-0.197860703026872,-0.346906331976582,-0.290849429343104,-0.374545576571304,-0.25093354599743,-0.383603975568502,-0.451555646563056,-0.259535967945407,-0.248367228556295,0.121931773362728,0.318013829548217,0.109973008160445,0.0493648634957241,0.196769783782072,0.104416713409663,0.28682988076401,0.408793940924303,0.208827226453354,0.0946200640441422,0.257512638886799,0.0863535679749509,0.0983419530387663,0.0872813010226667,0.0998383667029199,0.569903717379814
"POC_R3_H3",-0.178241474888381,-0.316009044688964,-0.262351030954523,-0.315844778027879,-0.370753784523123,0.00691822922126679,-0.32099355928161,-0.0881491569069837,-0.287352057100753,0.0217955165980335,0.248336719847586,0.350256253976093,0.438320150071321,0.254882983599904,0.170663844256839,0.279576105424641,0.397620148738384,-0.0560619003591039,0.153520564538148,0.33993039446415,0.181020570402688,0.258978776977998,-0.0318406503753714,-0.0357848076665237,0.506425814966075
"POC_R12_C1",0.0828387578033559,-0.00525381636294624,-0.272205839111859,0.0972793074986656,0.120652904741009,-0.0695642558170007,-0.0345802889292505,-0.103980461968612,0.00889783313345274,-0.0496955269484035,-0.00729141681180981,-0.141927752674821,0.00344182518625085,-0.0285920762424504,-0.183275605126645,-0.0947671398545819,-0.106411484246144,-0.00986291897906914,-0.168938068127242,-0.00226371284332692,-0.0201477975496152,0.0828313344132916,0.0846941191613036,0.154322025668868,-0.0468303430893827
"POC_R12_C2",0.0581287608294905,-0.0257893830190805,-0.213499469250308,0.166436072094868,0.139421940844105,-0.0196239721531556,0.0373658013816333,-0.0919233213802625,0.0402205285976199,-0.125787552399265,-0.036111865510621,-0.146305431293465,-0.0535471181483935,-0.0366500789361347,-0.221675834154763,-0.116447170356259,-0.180291537590788,-0.0900277316767283,-0.172286764019836,-0.10100621910529,-0.0445045101296134,0.134794014620233,0.0796717411305489,0.0905544677582201,-0.0707102046162236
"POC_R12_C3",0.0316127574855205,-0.0438759932365605,-0.257376570825559,0.167746999158835,-0.101197397107766,0.204251847645135,0.0916046253107764,0.100334058255132,-0.145304905179374,-0.132927843204662,-0.12617913159901,0.0984377870786106,0.231460603494266,0.0498530904265436,-0.143926578293708,-0.085532074735104,-0.0592091348477403,-0.0136364610006443,-0.129220227905267,-0.0471346914657089,0.113113928656419,0.160703887243282,-0.000630461747199388,-0.19446935191757,-0.0356185735902237
"POC_R12_H1",-0.262643648528916,-0.42910375202183,-0.37798319539564,-0.267366496141331,-0.334853409832902,0.182999594146891,0.0211709088915824,0.338413985747916,-0.260257142331667,-0.400520682158994,-0.187874956798382,0.33733875186146,0.263565337958377,0.129203530236032,0.0917283493767472,0.211616045079953,0.32024717721224,0.198450928274857,-0.155896470504893,0.196286120564848,0.101561652168907,0.168315752359506,-0.193204960908795,-0.100853948901508,-0.0682392391138867
"POC_R12_H2",-0.276461991330392,-0.123980663425494,-0.249041067397378,-0.107632771906269,-0.194394714300641,0.107697052431542,0.224271703146718,0.29110789430468,-0.041944451588924,-0.294290308694478,-0.187977181990574,0.127645324456559,-0.0222496999124148,0.151135168489636,0.0145791029595536,0.161002614166834,0.100842391127449,0.0976653084525285,-0.240771882086247,-0.156197321614069,-0.146641242507603,0.0657250116945461,-0.21432413486492,-0.163251629151479,-0.174954207111287
"POC_R12_H3",-0.396498813116259,-0.239050522004971,-0.286713450195828,-0.193400695323414,-0.204644780698152,-0.0185449187851982,0.00286324443018327,0.0897556581761043,-0.197939724170398,-0.170082655167061,-0.283205936935149,0.0888634792823214,-0.170585916164354,0.283737857721614,0.320512304182255,0.174789317019425,0.223872698451364,-0.110223612690176,0.0245021260350692,0.102100799652901,-0.0899275503268494,-0.116494886790842,-0.15218043057817,0.0687364150680758,-0.0845422636495421
"POC_R24_C1",-0.050688231773755,0.184923144725856,0.138795412276166,0.153213746039521,0.0542997023966503,0.00697770848735718,0.035310725946305,-0.103238252116512,-0.0399529595798369,-0.0363686930123958,-0.170840268059072,-0.0797338232877743,0.067082901261887,0.0156453811150898,0.14002113060351,-0.120356533601147,-0.110141629248293,0.0149555582785164,0.229684894199316,0.0160403692484506,0.0706230451178132,-0.00227570403513139,0.031790466029497,-0.0730887965217818,-0.0909009489432153
"POC_R24_C2",0.0786252979349509,0.1413074884628,0.0836120456907089,0.15863133779688,0.0466106512235576,0.0831053702798519,0.0540521397060648,-0.102694847076156,0.00423817983838577,0.0527761597823346,-0.0602615464077889,-0.0440179460547259,0.105655877943188,-0.0666257379984319,-0.0199532872206812,-0.133028277362399,-0.156747756783492,0.0420955577110242,0.0849436611281155,-0.0671431792031026,0.0745218547411817,0.0792631123747022,0.0482056408402289,-0.0214743816632692,-0.0812171934789474
